Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Villanova2 seed,CHAMPS",1,BE,40,35-5,124.02,92.06,.96881,56.18,46.741,16.355,20.640,28.2224,29.4148,34.1241,30.044,57.42,44.123,36.2102,33.9131,42.731,37.4262,65.8289,+9.02
"Kansas1 seed,Elite Eight",2,B12,37,32-5,121.68,91.44,.96392,55.710,45.116,17.8151,18.5145,32.285,27.986,38.6113,37.3180,52.732,43.418,41.35,32.560,32.8234,32.579,69.2113,+11.41
"Virginia1 seed,Elite Eight",3,ACC,37,29-8,120.89,92.17,.95743,54.817,48.494,15.113,18.8126,29.9162,25.217,32.1289,33.494,52.634,46.372,40.39,34.7168,28.3322,36.7229,60.9351,+8.73
"North Carolina1 seed,Finals",4,ACC,40,33-7,124.31,96.127,.95074,52.653,48.183,15.421,18.2165,40.73,30.0183,32.3280,30.450,53.921,44.634,32.7255,36.2256,26.7338,35.6180,70.857,+8.54
"Kentucky4 seed, R32",5,SEC,36,27-9,123.93,96.330,.94775,53.539,44.56,16.249,18.0178,37.512,31.9275,37.8140,40.8265,52.929,42.711,36.674,32.664,31.0273,29.618,67.3215,+5.014
"Michigan St.2 seed, R64",6,B10,35,29-6,123.44,97.139,.94056,56.37,43.33,17.6133,14.2343,37.116,24.37,30.0327,34.1109,51.464,41.76,43.41,31.017,35.6163,32.579,66.7250,+7.47
"West Virginia3 seed, R64",7,B12,35,26-9,115.726,91.65,.93617,49.8174,48.494,20.0291,25.02,42.01,27.160,46.25,55.3351,50.3103,47.7120,32.5266,33.185,30.6276,36.3210,70.087,+7.38
"Oklahoma2 seed,Final Four",8,B12,37,29-8,119.112,94.517,.93478,54.322,47.255,18.3193,17.7198,31.2123,30.5210,33.0269,28.329,48.2199,45.347,42.22,33.7114,40.759,35.7185,69.989,+7.95
"Purdue5 seed, R64",9,B10,35,26-9,118.119,94.415,.92989,53.635,44.34,17.7139,13.7348,35.030,23.43,35.4205,28.126,52.831,42.916,36.769,31.430,35.8160,33.196,68.0175,+4.515
"Wichita St.11 seed, R32",10,MVC,34,25-9,111.171,89.01,.927710,48.9221,44.710,14.79,23.25,31.7105,23.64,37.4154,45.4327,49.2147,42.18,32.3275,32.769,38.1104,37.0241,65.9284,+0.2847
Louisville,11,ACC,31,23-8,112.457,90.72,.921611,51.977,44.710,17.1100,21.614,38.58,29.2137,31.8294,40.5261,51.955,42.812,34.7165,32.144,29.0311,35.3171,66.3266,+4.316
"Gonzaga11 seed,Sweet Sixteen",12,WCC,35,27-8,118.417,95.625,.921112,55.213,44.812,17.1100,15.1328,32.190,26.035,34.4233,28.126,54.316,44.427,37.842,30.38,35.6163,32.784,67.3218,+2.231
"Xavier2 seed, R32",13,BE,34,28-6,117.820,95.324,.919313,51.4105,47.873,17.4117,19.393,35.228,26.035,41.752,33.6104,49.8122,48.6157,36.390,31.120,34.2208,40.5318,71.543,+7.76
"Miami FL3 seed,Sweet Sixteen",14,ACC,35,27-8,120.310,97.749,.916514,54.223,48.390,16.569,17.4216,30.1158,29.5156,40.777,29.136,53.225,46.990,37.545,34.4155,33.9213,30.425,66.1271,+6.99
"Indiana5 seed,Sweet Sixteen",15,B10,35,27-8,122.15,99.573,.913615,58.71,49.8167,19.6272,18.9117,37.215,29.2137,33.9246,30.249,56.16,49.0180,41.64,34.3148,40.856,31.242,68.6143,+3.325
"Oregon1 seed,Elite Eight",16,P12,37,30-7,119.111,97.140,.912716,52.360,48.9113,16.144,20.254,34.145,30.5210,40.385,32.074,52.634,46.166,34.4177,36.2256,34.3204,34.1120,68.1166,+6.710
"Vanderbilt11 seed, R68",17,SEC,33,19-14,115.229,94.313,.909617,52.948,43.12,16.883,14.2343,27.2253,29.3142,39.892,34.4116,50.1108,42.610,38.228,29.42,38.0106,30.631,67.7186,-0.3867
