Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Kentucky1 seed,Final Four",1,SEC,39,38-1,121.86,86.11,.98171,51.575,39.61,16.332,21.339,39.58,31.8208,43.930,31.763,51.252,39.12,34.9138,27.11,27.1323,30.569,62.8260,+13.01
"Duke1 seed,CHAMPS",2,ACC,39,35-4,126.83,92.811,.97312,56.64,46.569,16.332,18.6201,35.832,30.2124,39.897,23.92,55.94,46.3110,38.725,31.440,33.4197,27.815,65.894,+10.64
"Wisconsin1 seed,Finals",3,B10,40,36-4,130.51,95.837,.97223,54.816,47.7110,12.41,15.8332,32.1123,23.72,36.2189,22.41,54.88,44.761,36.578,37.5305,37.488,25.76,58.7344,+11.32
"Arizona2 seed,Elite Eight",4,P12,38,34-4,119.211,89.23,.96554,53.531,45.125,16.539,20.676,34.562,22.41,47.18,37.3191,53.318,42.718,36.089,33.5129,25.9334,31.590,66.182,+8.96
"Villanova1 seed, R32",5,BE,36,33-3,123.64,93.314,.96205,55.313,45.536,16.332,21.627,32.5115,31.2172,41.858,30.439,53.022,45.381,38.921,30.520,42.922,32.2112,64.1184,+11.23
"Virginia2 seed, R32",6,ACC,34,30-4,113.930,86.42,.95996,50.696,42.34,15.713,17.9243,34.369,24.25,34.9231,28.622,49.788,40.13,35.2123,30.824,27.5318,36.6252,57.8349,+9.95
"Gonzaga2 seed,Elite Eight",7,WCC,37,34-3,122.05,95.230,.94557,57.92,44.214,16.126,17.1285,33.982,28.043,38.7121,30.542,57.02,42.07,40.09,33.096,31.8236,30.358,64.6156,+7.99
"Utah5 seed,Sweet Sixteen",8,P12,34,25-9,116.517,91.08,.94498,55.214,43.05,18.2108,18.3218,31.3157,28.455,43.437,34.3124,52.332,41.45,40.18,31.232,37.391,29.330,60.7323,+3.720
"North Carolina4 seed,Sweet Sixteen",9,ACC,38,26-12,121.27,94.622,.94499,51.673,45.434,18.2108,17.7258,40.05,31.2172,35.2224,37.8198,50.956,45.688,35.896,30.011,22.3350,36.8260,69.313,+6.412
"Notre Dame3 seed,Elite Eight",10,ACC,38,32-6,127.02,100.9112,.933510,58.31,47.9115,14.53,17.3272,27.9277,32.2229,36.7173,24.15,58.21,47.4155,39.019,32.680,37.683,31.590,63.3230,+8.48
"Oklahoma3 seed,Sweet Sixteen",11,B12,35,24-11,113.039,90.76,.925711,49.3155,44.111,17.679,19.7127,31.5149,31.4183,32.8279,28.419,48.2147,42.29,34.3169,31.751,33.8179,34.5181,66.953,+4.217
"Michigan St.7 seed,Final Four",12,B10,39,27-12,117.913,94.824,.924712,53.238,44.924,17.572,16.5310,33.595,27.029,32.7283,39.0221,50.861,43.836,38.529,31.545,35.0152,33.8158,63.3229,+3.026
"Baylor3 seed, R64",13,B12,33,23-10,117.714,95.026,.921813,49.8123,45.848,20.1239,19.3149,41.92,31.5189,38.6126,32.171,46.1242,46.4116,38.232,29.86,33.5192,35.7222,61.4306,+4.815
