Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Connecticut1 seed,CHAMPS",1,BE,40,37-3,128.01,91.34,.97991,56.97,44.43,14.534,16.0247,36.712,26.778,31.9202,31.1134,59.14,43.24,35.869,31.233,40.2102,32.943,64.6327,+11.21
"Houston1 seed,Sweet Sixteen",2,B12,37,32-5,119.615,86.51,.97662,50.3195,44.02,13.89,24.43,36.810,31.2282,30.8236,39.4316,49.2226,43.13,34.8132,30.111,36.8191,40.1282,63.4349,+10.03
"Purdue1 seed,Finals",3,B10,39,34-5,126.03,94.515,.96493,55.813,47.538,16.4134,13.7341,37.76,24.315,41.313,22.04,53.364,47.761,40.42,31.544,34.7251,36.9171,67.1211,+10.62
"Auburn4 seed, R64",4,SEC,35,27-8,121.010,93.17,.95344,54.235,43.71,15.156,18.1102,32.959,30.2225,38.342,41.5335,55.122,42.91,35.2105,30.212,37.5176,33.451,70.056,+5.29
"Iowa St.2 seed,Sweet Sixteen",5,B12,37,29-8,113.653,87.72,.95175,52.097,47.436,15.468,25.32,31.1103,29.4198,35.4102,34.8241,51.2138,47.451,35.869,31.544,31.7305,45.2354,67.4193,+6.36
"Arizona2 seed,Sweet Sixteen",6,P12,36,27-9,120.512,93.38,.95016,54.530,48.467,16.0104,18.0110,35.618,23.36,36.483,25.926,54.437,47.761,36.633,32.9113,33.4281,37.9208,72.315,+4.910
"Tennessee2 seed,Elite Eight",7,SEC,36,27-9,115.931,90.43,.94557,51.1147,45.35,14.534,18.579,32.275,28.2138,33.7147,35.7260,50.8151,44.38,34.4152,31.233,41.279,41.1301,69.284,+5.67
"Duke4 seed,Elite Eight",8,ACC,36,27-9,121.39,95.520,.93998,54.628,48.678,14.431,16.9174,32.077,25.953,34.3132,28.166,53.555,49.0108,37.713,31.853,37.5176,34.781,66.5247,+3.515
"North Carolina1 seed,Sweet Sixteen",9,ACC,37,29-8,119.218,94.314,.93699,51.5126,46.718,14.119,14.8310,33.058,23.710,36.288,28.269,50.2178,46.023,35.961,32.061,36.1211,35.8119,70.547,+7.04
"Creighton3 seed,Sweet Sixteen",10,BE,35,25-10,121.78,97.132,.930910,57.33,46.311,15.468,11.0362,26.1273,24.927,24.7352,16.01,59.23,45.515,36.825,32.378,48.58,27.96,66.7233,+4.413
"Marquette2 seed,Sweet Sixteen",11,BE,37,27-10,118.620,94.916,.928911,55.020,49.8133,14.327,21.119,25.7285,30.8266,25.5344,26.938,56.612,49.3124,35.2105,33.7162,41.184,42.8335,69.190,+6.65
"Gonzaga5 seed,Sweet Sixteen",12,WCC,35,27-8,123.65,99.157,.926912,57.06,47.332,14.015,16.1241,33.251,27.7111,30.7240,25.219,58.37,45.113,36.243,34.1195,31.3312,36.6148,68.8103,+2.423
"Illinois3 seed,Elite Eight",13,B10,38,29-9,125.74,101.191,.924713,53.648,48.046,15.051,12.3360,35.618,26.364,37.168,26.733,54.437,46.836,34.9125,34.1195,38.6142,28.37,69.768,+5.68
"Alabama4 seed,Final Four",14,SEC,37,25-12,126.12,102.5121,.915414,56.310,49.7127,15.995,15.2294,34.925,30.9271,35.3106,38.8307,56.710,50.9199,37.319,31.751,46.519,37.2183,72.314,+3.316
"Saint Mary's5 seed, R64",15,WCC,34,26-8,115.335,94.111,.912415,52.867,45.14,16.0104,16.7189,38.73,22.31,28.0304,33.4201,52.781,43.85,35.398,32.378,36.8191,29.28,62.5357,+1.435
St. John's,16,BE,33,20-13,120.113,98.544,.906716,50.9156,49.5113,15.784,18.579,38.64,30.3229,27.3324,34.4231,50.8151,47.971,34.1164,35.0254,32.5295,35.9123,69.379,+0.4752
"Baylor3 seed, R32",17,B12,35,24-11,122.67,101.088,.902817,55.714,51.4234,17.7216,17.0164,35.024,26.989,40.222,31.2136,53.555,52.1257,39.54,33.4142,38.9133,35.4103,65.8276,+4.512
"Michigan St.9 seed, R32",18,B10,35,20-15,113.355,93.59,.901518,51.6121,48.046,15.051,18.579,29.8139,28.5148,29.3272,32.4176,50.5164,47.451,36.243,32.696,30.5323,41.6311,65.4306,-0.1956
"Texas7 seed, R32",19,B12,34,21-13,116.629,96.525,.898019,53.064,48.154,16.9174,18.864,29.9134,30.1222,30.2254,34.0221,53.170,47.044,35.492,33.5147,34.9246,32.943,67.4191,+0.746
"Clemson6 seed,Elite Eight",20,ACC,36,24-12,117.723,97.434,.897820,53.944,48.256,14.843,13.9337,27.2240,26.672,30.7240,32.1165,54.633,47.147,35.1112,33.1126,39.9108,41.1301,66.3258,+1.041
"Kansas4 seed, R32",21,B12,34,23-11,113.751,94.213,.897121,53.550,48.360,16.5143,16.5206,25.7285,26.570,32.5184,28.576,54.730,45.820,33.6194,34.6233,29.8334,41.0296,69.093,+3.814
"Florida7 seed, R64",22,SEC,36,24-12,120.511,100.276,.893622,51.8109,49.3106,15.784,14.5316,37.38,28.8168,38.440,34.8241,51.8112,49.5136,34.5144,32.696,34.5258,32.436,71.819,+2.821
"Colorado10 seed, R32",23,P12,37,26-11,118.321,98.645,.890223,55.415,49.7127,18.1249,15.2294,32.077,24.722,35.1111,27.347,54.040,50.6180,39.16,32.166,30.6322,35.296,67.7170,+1.730
"BYU6 seed, R64",24,B12,34,23-11,119.814,99.970,.889724,54.823,48.256,15.364,16.0247,32.865,24.621,25.4345,32.0161,57.58,48.384,34.8132,32.061,50.44,34.065,69.189,+2.325
"Wisconsin5 seed, R64",25,B10,36,22-14,118.819,99.159,.889225,52.288,52.0259,14.947,16.9174,30.2121,24.518,33.8146,33.8214,52.293,50.2166,34.9125,36.9336,35.5226,34.374,65.2309,+2.918

"Nebraska8 seed, R64",26,B10,34,23-11,116.030,96.929,.888226,53.161,46.718,15.893,16.2228,27.6219,30.3229,32.6181,27.758,52.878,45.214,35.773,32.589,44.332,41.4308,69.097,+2.027
"Kentucky3 seed, R64",27,SEC,33,23-10,122.76,102.7124,.886327,57.24,49.6123,14.223,15.9256,28.9170,30.3229,30.4246,33.5204,54.730,49.4131,40.91,33.2132,37.5176,40.1282,72.513,+2.819
"San Diego St.5 seed,Sweet Sixteen",28,MWC,37,26-11,112.071,94.112,.880228,49.9220,47.332,16.2114,18.1102,32.769,28.7163,36.777,33.1192,51.5124,47.869,31.5296,31.029,38.0157,40.3285,66.2263,+2.226
"New Mexico11 seed, R64",29,MWC,36,26-10,113.948,96.023,.877429,50.5183,48.154,14.015,19.349,33.543,27.096,33.2158,33.4201,51.1143,49.2119,32.7241,30.721,29.9330,36.5143,72.810,+1.533
Pittsburgh,30,ACC,33,22-11,116.727,98.853,.871230,51.6121,49.087,13.47,16.6196,31.0105,23.812,30.5244,30.5123,50.0192,50.8193,35.773,30.823,44.431,38.6236,65.9272,+0.648
Villanova,31,BE,34,18-16,110.491,93.810,.867431,50.6174,48.360,14.739,16.2228,24.9298,24.315,26.8333,26.028,50.5164,47.658,33.8181,32.8109,48.011,45.3355,63.7347,-1.268
"Texas Tech6 seed, R64",32,B12,34,23-11,116.925,99.362,.866932,52.674,49.299,16.5143,17.0164,30.2121,30.3229,34.2136,27.245,51.6120,49.8147,35.961,32.275,41.474,38.6236,66.5245,+2.820
"Texas A&M9 seed, R32",33,SEC,36,21-15,117.722,100.071,.866733,45.7340,50.5180,14.119,16.7189,42.21,27.9123,38.638,31.9156,46.8310,50.3171,29.3342,33.8166,37.7167,44.9351,66.1265,-0.0655
"Mississippi St.8 seed, R64",34,SEC,35,21-14,112.367,95.521,.865234,51.4139,48.046,18.9299,18.489,35.420,27.9123,37.463,31.8154,53.457,50.3171,32.2261,29.88,38.5146,41.2306,67.1208,+0.650
Wake Forest,35,ACC,35,21-14,117.024,99.769,.862435,54.235,49.194,15.468,16.4211,26.4266,25.850,32.0195,30.1116,54.040,48.9101,36.437,33.1126,37.4182,35.5107,68.3134,-1.066
"Nevada10 seed, R64",36,MWC,34,26-8,115.037,98.138,.861736,53.258,48.467,15.261,17.4139,27.3233,26.989,45.06,34.2226,52.589,49.1113,36.437,31.650,33.7273,41.0296,66.9223,+2.522
"Northwestern9 seed, R32",37,B10,34,22-12,115.734,98.851,.859237,52.674,51.5239,13.47,18.864,25.8283,27.8115,29.2277,39.3315,49.2226,51.4226,39.07,34.5226,36.4202,37.3190,64.0340,+1.139
Seton Hall,38,BE,37,25-12,113.157,96.930,.855838,50.4188,49.299,18.4278,17.9115,35.222,29.1184,30.9233,25.622,50.4170,49.0108,33.6194,33.0116,31.2314,42.5331,66.6243,+0.943
"Washington St.7 seed, R32",39,P12,35,25-10,112.860,96.726,.854939,51.8109,47.227,16.4134,15.7272,32.959,25.029,31.6216,32.3170,52.293,46.528,33.9178,32.589,32.2299,31.122,64.8322,+1.829
Utah,40,P12,37,22-15,114.246,97.937,.854740,54.431,48.882,16.1110,14.1332,27.5224,25.850,27.1329,26.028,53.651,48.074,36.923,33.6155,40.595,36.4136,69.961,-1.270
Ohio St.,41,B10,36,22-14,115.036,98.746,.853641,50.9156,48.780,15.573,15.9256,31.496,28.5148,33.6151,29.9111,50.5164,47.044,34.4152,34.6233,34.7251,33.754,66.2262,-0.661
Indiana St.,42,MVC,39,32-7,119.616,102.7125,.852442,59.81,49.9142,16.2114,15.5279,23.6326,23.36,33.1162,25.926,62.41,48.897,38.111,34.7241,49.55,34.065,70.739,+1.928
"Colorado St.10 seed, R64",43,MWC,36,25-11,112.861,96.828,.852343,54.235,48.571,15.468,16.6196,24.6301,26.989,31.8208,31.7151,57.09,48.074,33.0221,33.0116,38.2153,33.754,66.0269,+1.140
"Boise St.10 seed, R68",44,MWC,33,22-11,113.752,97.835,.849744,51.0152,49.8133,16.4134,16.9174,32.959,23.15,35.1111,33.1192,50.8151,52.1257,34.2159,30.518,39.4116,36.7155,66.5249,+0.747
Cincinnati,45,B12,37,22-15,111.378,95.722,.849545,50.3195,47.741,17.3196,17.3146,36.215,25.335,27.6315,29.187,50.8151,46.327,33.0221,33.6155,36.7198,34.884,67.4189,-1.472
"TCU9 seed, R64",46,B12,34,21-13,114.047,98.239,.848146,51.5126,50.7191,18.0242,20.625,35.917,28.4145,35.0117,35.4256,50.8151,51.3220,35.492,33.0116,30.3327,35.192,70.054,+0.944
"Dayton7 seed, R32",47,A10,33,25-8,116.726,100.681,.847047,56.211,48.360,16.0104,15.9256,26.4266,28.6158,36.777,21.93,53.457,48.591,39.93,32.061,44.332,40.1282,64.2337,+2.324
"N.C. State11 seed,Final Four",48,ACC,41,26-15,114.244,99.158,.836648,50.7169,49.5113,13.89,17.5136,28.2196,29.1184,32.0195,31.5139,50.2178,49.0108,34.4152,33.6155,33.3283,36.7155,67.7167,-0.4259
Oklahoma,49,B12,32,20-12,113.158,98.442,.831849,53.161,47.436,18.1249,16.5206,30.1125,26.261,37.758,31.1134,53.943,48.9101,34.5144,29.99,38.5146,35.7114,67.2198,+0.649
