Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Louisville1 seed,CHAMPS",1,BE,40,35-5,117.08,86.02,.97181,50.683,44.832,18.378,27.02,38.216,33.3243,40.067,34.9143,50.847,43.436,33.3197,31.868,30.0263,33.3183,65.8119,+9.01
"Florida3 seed,Elite Eight",2,SEC,37,29-8,116.99,87.14,.96702,55.26,43.39,17.850,22.543,34.288,28.451,31.0294,29.948,54.38,41.87,37.826,31.042,39.540,32.8159,61.5297,+4.219
"Indiana1 seed,Sweet Sixteen",3,B10,36,29-7,122.02,91.216,.96603,54.79,44.015,19.3133,20.9115,39.07,31.4148,45.86,27.017,52.025,43.229,40.35,30.429,32.3190,32.8159,66.492,+7.73
"Gonzaga1 seed, R32",4,WCC,34,31-3,120.13,91.620,.95734,54.98,44.933,17.229,20.8125,37.821,29.884,40.848,29.948,55.06,42.110,36.558,32.9113,31.5212,38.8325,63.8214,+7.82
"Syracuse4 seed,Final Four",5,BE,40,30-10,113.822,88.46,.94805,49.0141,42.65,18.9112,23.619,38.88,34.5284,36.8146,35.4156,48.5126,42.619,33.4191,28.43,30.4251,40.3333,64.0203,+5.113
"Michigan4 seed,Finals",6,B10,38,30-8,122.61,95.350,.94786,54.611,48.0142,14.61,18.7241,32.5137,29.471,28.4329,22.71,53.411,47.6175,37.924,32.6102,34.2143,33.6193,63.5230,+6.211
"Kansas1 seed,Sweet Sixteen",7,B12,37,31-6,112.829,87.65,.94787,53.324,41.51,20.3192,18.4260,33.898,29.369,39.580,32.076,52.913,39.31,36.462,30.326,29.0280,35.6264,66.396,+7.55
"Duke2 seed,Elite Eight",8,ACC,36,30-6,119.54,93.032,.94728,53.917,45.550,15.64,20.4144,28.8267,32.3186,39.287,32.787,50.847,46.2120,39.97,29.09,33.3161,26.922,66.490,+7.64
"Ohio St.2 seed,Elite Eight",9,B10,37,29-8,114.714,90.914,.93579,50.683,45.446,16.210,20.7131,31.8159,28.244,35.5185,29.543,49.487,43.639,35.684,32.490,31.0234,36.2288,63.9208,+7.26
"Wisconsin5 seed, R64",10,B10,35,23-12,108.274,85.91,.934410,48.6159,43.07,15.75,18.0278,32.6134,26.917,29.7317,25.78,48.0153,42.824,33.0211,28.96,40.031,24.97,60.6315,+4.617
"Michigan St.3 seed,Sweet Sixteen",11,B10,35,26-9,112.431,89.38,.933811,50.683,44.527,20.8224,19.2213,36.141,27.633,36.6154,32.482,50.455,44.357,34.1154,30.122,27.2302,34.3216,63.1247,+6.78
"Georgetown2 seed, R64",12,BE,32,25-7,108.768,86.53,.932112,51.171,43.07,20.1178,22.445,30.4217,31.0131,36.8146,35.3154,50.261,41.44,35.395,30.739,32.9174,34.0202,61.1301,+6.59
"Arizona6 seed,Sweet Sixteen",13,P12,35,27-8,115.711,93.736,.918013,52.539,46.684,19.5143,19.8177,35.063,26.715,37.4127,32.996,50.651,43.436,37.141,35.8262,37.555,30.995,65.5135,+4.616
"VCU5 seed, R32",14,A10,36,27-9,115.013,93.434,.916114,51.366,49.9226,16.921,28.51,36.635,34.7292,29.8316,40.3271,50.554,50.1268,35.1104,32.9113,35.797,32.9166,66.878,+2.727
"Pittsburgh8 seed, R64",15,BE,33,24-9,114.119,92.730,.915815,51.754,44.629,18.165,22.058,40.44,30.093,37.5122,36.4181,51.535,44.050,34.9115,30.429,26.3313,35.4258,58.9341,+3.125
"Miami FL2 seed,Sweet Sixteen",16,ACC,36,29-7,113.624,92.426,.914716,51.949,45.758,16.716,18.4260,31.3183,28.451,34.6212,28.325,50.651,44.050,36.268,32.6102,35.6103,34.9239,61.7292,+6.410
"Saint Louis4 seed, R32",17,A10,35,28-7,109.262,88.97,.914117,50.494,45.550,17.642,23.619,27.9291,29.164,44.020,35.0148,50.068,44.154,34.0158,33.1122,34.1145,26.619,63.3235,+3.920
"Creighton7 seed, R32",18,MVC,36,28-8,117.77,96.469,.907818,58.21,45.966,18.9112,16.1327,28.8267,27.227,34.2226,26.113,55.73,45.590,41.41,31.248,39.441,33.2179,63.9212,+3.622
"Wichita St.9 seed,Final Four",19,MVC,39,30-9,111.934,92.427,.899819,50.0104,45.341,19.4137,20.0169,38.018,26.512,36.5155,38.3235,49.682,43.639,33.9164,32.282,35.3108,36.6299,63.7219,+2.331
