Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Connecticut4 seed,CHAMPS",1,BE,39,31-8,121.53,91.29,.96431,53.933,44.45,18.9237,18.5138,38.52,26.168,30.8199,37.8312,53.650,44.49,36.359,29.712,41.766,30.413,66.7200,+5.013
"Alabama1 seed,Sweet Sixteen",2,SEC,37,31-6,116.115,89.03,.95482,52.186,41.31,18.7224,15.8312,34.223,27.9149,36.647,32.6220,53.840,40.81,33.5193,28.33,47.29,30.010,72.64,+10.21
"Houston1 seed,Sweet Sixteen",3,Amer,37,33-4,117.313,90.35,.95323,52.379,42.72,15.428,21.137,37.14,27.7140,28.9262,35.7285,53.160,43.45,34.0173,27.92,37.9160,43.5339,63.4341,+8.05
"UCLA2 seed,Sweet Sixteen",4,P12,37,31-6,114.923,88.52,.95284,51.1146,46.827,14.915,23.311,33.043,28.2166,27.4305,27.572,50.6161,46.944,34.9123,31.132,29.0342,38.8234,66.1234,+8.44
"Tennessee4 seed,Sweet Sixteen",5,SEC,36,25-11,111.257,87.51,.94015,49.9210,42.83,18.1169,22.220,36.46,26.9105,30.7203,33.8245,50.3181,45.115,32.8234,26.51,40.1103,41.8317,65.1285,+2.825
"Texas2 seed,Elite Eight",6,B12,38,29-9,116.116,91.810,.93716,53.345,48.166,16.355,22.121,28.3190,29.0206,30.5211,33.7244,54.034,47.968,34.7137,32.483,34.5267,34.896,68.5115,+7.58
"Purdue1 seed, R64",7,B10,35,29-6,117.910,93.721,.93337,51.8101,47.240,17.299,15.4329,38.43,23.513,37.237,19.21,54.133,47.253,32.2273,31.343,38.4145,35.5123,63.9330,+9.43
"Arizona2 seed, R64",8,P12,35,28-7,119.46,95.434,.92928,56.53,47.135,18.4208,16.9246,30.7107,26.168,35.859,25.534,56.48,46.229,37.816,32.378,37.7169,38.7230,72.210,+7.67
"Gonzaga3 seed,Elite Eight",9,WCC,37,31-6,123.21,99.078,.92519,57.62,51.4228,14.813,17.8183,31.294,25.660,34.194,26.043,58.24,50.6195,37.523,35.2255,32.6305,39.0242,70.140,+6.69
"Saint Mary's5 seed, R32",10,WCC,35,27-8,112.144,90.56,.921310,52.089,47.135,16.462,19.2106,32.655,21.92,32.0157,29.9143,50.8150,45.722,36.168,33.3129,36.8199,32.031,61.9359,+3.423
"San Diego St.5 seed,Finals",11,MWC,39,32-7,110.861,89.54,.920511,49.3236,46.520,17.3104,19.1112,31.680,26.168,33.2112,30.2153,48.4256,49.3139,34.0173,28.33,33.9281,40.0278,65.7264,+5.710
"Marquette2 seed, R32",12,BE,36,29-7,118.78,96.041,.919712,56.07,51.0202,15.326,22.518,26.2249,31.7310,27.0317,29.1122,58.24,50.3182,35.3100,34.7230,42.061,37.5189,68.4122,+7.86
"Creighton6 seed,Elite Eight",13,BE,37,24-13,115.021,93.215,.917713,54.226,47.135,16.668,13.9359,25.3275,23.513,28.4272,19.72,55.117,45.722,35.498,33.6145,41.766,29.58,67.7153,+2.229
"Kansas1 seed, R32",14,B12,36,28-8,113.831,92.313,.917714,52.667,47.031,17.5124,20.266,28.7176,28.7191,29.8227,31.1181,53.065,47.253,34.7137,31.028,33.8284,35.3118,69.083,+10.12
