Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Kansas1 seed,CHAMPS",1,B12,40,37-3,122.12,86.42,.98151,56.65,44.39,19.148,22.499,37.624,29.133,36.4176,31.060,55.46,41.24,39.712,32.854,29.3286,38.3284,67.0117,+9.93
"Memphis1 seed,Finals",2,CUSA,40,38-2,117.76,86.93,.97032,52.753,43.45,16.67,22.594,37.821,29.649,40.464,31.773,52.929,42.610,34.9169,30.27,35.2146,28.726,68.572,+9.05
"UCLA1 seed,Final Four",3,P10,39,35-4,116.98,87.75,.96473,52.273,46.535,19.148,21.8137,39.212,27.25,37.3144,25.610,52.437,45.464,34.4193,32.957,28.0304,27.514,64.4213,+10.72
"North Carolina1 seed,Final Four",4,ACC,39,36-3,123.61,92.826,.96434,53.047,48.290,18.842,21.1172,42.51,29.030,38.0126,25.711,52.144,47.8137,37.280,32.645,22.6339,34.2164,73.08,+11.91
"Wisconsin3 seed,Sweet Sixteen",5,B10,36,31-5,113.336,86.31,.95805,50.6138,43.45,19.568,21.9131,36.253,28.625,39.980,25.48,49.3128,41.75,35.6144,31.322,31.8229,33.0123,61.4306,+8.28
"Louisville3 seed,Elite Eight",6,BE,36,27-9,112.839,87.44,.94946,53.145,44.17,20.2105,21.7141,33.4144,30.991,36.5172,33.5106,53.519,43.116,35.0168,30.510,38.768,34.6180,65.5171,+4.716
"Duke2 seed, R32",7,ACC,34,28-6,116.610,90.810,.94667,53.638,47.667,18.326,24.721,33.9121,33.7212,40.953,31.976,51.751,47.0106,37.757,32.957,39.264,25.01,71.813,+8.96
"Texas2 seed,Elite Eight",8,B12,38,31-7,121.33,94.741,.94508,51.5106,45.721,14.21,17.9317,36.349,33.6208,32.0276,31.060,48.5162,43.218,38.048,33.268,34.9153,38.1281,63.0265,+8.47
"Georgetown2 seed, R32",9,BE,34,28-6,113.732,88.86,.94509,56.74,41.91,21.3180,19.8245,33.1153,32.7156,34.0237,36.0161,56.23,40.52,38.437,29.64,40.250,35.5210,61.3311,+7.79
"Washington St.4 seed,Sweet Sixteen",10,P10,35,26-9,114.127,90.78,.933210,53.734,46.741,17.011,21.9131,27.8303,29.854,38.5115,28.432,53.027,45.360,36.891,33.164,33.9171,32.4103,58.3334,+4.914
"Stanford3 seed,Sweet Sixteen",11,P10,36,28-8,113.533,90.79,.929111,49.8170,44.39,18.842,17.7321,39.113,29.237,39.687,32.892,48.0182,42.16,36.6102,33.372,27.1315,28.320,63.5256,+6.710
"Marquette6 seed, R32",12,BE,35,25-10,114.823,92.018,.927612,50.6138,46.329,18.739,23.943,38.217,33.4192,37.5139,41.0262,49.0139,46.796,35.8135,30.48,33.6181,31.159,66.9121,+3.822
"Clemson5 seed, R64",13,ACC,34,24-10,113.930,91.312,.926913,51.987,48.185,20.3117,24.624,39.87,36.4301,30.6302,33.8116,49.7114,49.0192,37.563,30.48,33.3189,28.624,67.991,+4.419
"Davidson10 seed,Elite Eight",14,SC,36,29-7,115.416,92.625,.926814,54.123,49.3140,17.314,24.333,32.4185,28.523,26.3332,37.3186,54.110,47.0106,36.1116,35.5186,40.642,37.8274,66.8129,+1.634
"Tennessee2 seed,Sweet Sixteen",15,SEC,36,31-5,115.318,92.524,.926615,52.465,49.1126,18.224,24.721,36.253,34.6251,38.0126,39.6233,51.556,50.3245,35.8135,31.220,38.966,35.9225,71.118,+9.24
"Xavier3 seed,Elite Eight",16,A10,37,30-7,116.311,94.235,.918016,54.614,47.150,19.883,19.6258,35.868,30.160,42.429,31.468,52.243,45.254,39.124,33.685,36.5108,36.5242,64.1224,+4.718
"Michigan St.5 seed,Sweet Sixteen",17,B10,36,27-9,115.319,93.629,.917217,52.658,46.026,21.1168,18.9286,39.59,31.6117,33.5248,33.198,51.652,45.667,37.183,31.119,24.4335,37.2253,63.6249,+5.113
"Texas A&M9 seed, R32",18,B12,36,25-11,112.838,92.120,.911818,52.084,44.917,19.253,17.4327,35.088,28.117,41.840,26.715,51.264,42.27,35.7142,33.895,30.1272,31.264,62.1294,+3.026
"West Virginia7 seed,Sweet Sixteen",19,BE,37,26-11,114.526,93.630,.910619,51.4110,48.080,16.46,22.874,34.4110,31.2106,36.6166,39.7235,50.1100,45.254,36.0122,35.8210,33.9171,32.4103,63.9232,+2.628
"Kansas St.11 seed, R32",20,B12,33,21-12,115.220,94.437,.908620,49.5180,48.398,20.8153,22.2109,42.32,30.364,37.4143,38.3202,50.296,44.945,32.0285,37.2282,32.2214,31.574,70.130,+1.038
"Drake5 seed, R64",21,MVC,33,28-5,120.04,98.696,.905321,52.658,50.4195,18.022,24.140,36.736,33.1178,35.2210,23.96,50.584,49.5209,36.796,34.5129,46.110,39.4307,62.8277,+5.212
"Purdue6 seed, R32",22,B10,34,25-9,110.851,91.413,.901122,49.1195,49.1126,19.148,26.07,33.1153,30.991,37.1154,42.6288,45.3282,47.6129,37.374,34.8145,35.7129,31.574,66.8125,+3.824
"Pittsburgh4 seed, R32",23,BE,37,27-10,116.97,96.867,.897923,50.8130,47.978,18.224,20.9181,39.311,33.9221,36.1187,28.635,50.877,46.8100,33.8217,33.473,30.4262,34.4173,63.6252,+5.211
"Connecticut4 seed, R64",24,BE,33,24-9,115.615,95.958,.896124,50.6138,44.28,19.457,17.3329,39.59,34.2237,48.14,23.55,49.5121,40.52,36.1116,34.8145,24.7332,32.092,67.3103,+4.321
"Arizona10 seed, R64",25,P10,34,19-15,116.112,96.463,.894925,53.929,48.7111,18.634,19.0281,27.8303,33.4192,40.464,30.453,51.264,47.5122,39.615,34.5129,32.1218,28.218,63.6251,+1.536

"Gonzaga7 seed, R64",26,WCC,33,25-8,113.435,94.134,.894926,54.517,45.721,20.7148,21.6150,34.699,29.751,39.783,32.182,53.715,43.826,37.563,32.752,31.9225,37.2253,66.7131,+2.232
"Notre Dame5 seed, R32",27,BE,33,25-8,115.417,96.060,.892327,52.273,46.638,18.326,17.5325,36.253,30.784,34.0237,23.04,47.8195,44.842,40.56,33.578,33.6181,33.2130,68.956,+4.420
"Butler7 seed, R32",28,Horz,34,30-4,115.022,95.754,.891728,54.123,48.080,16.99,22.969,29.8270,32.2137,36.7162,32.689,51.363,48.2153,38.048,31.831,48.56,31.784,59.5329,+4.815
"USC6 seed, R64",29,P10,33,21-12,110.156,91.815,.890229,53.340,44.814,21.9213,20.0228,31.1237,35.0261,38.7110,27.924,51.556,44.127,38.732,30.711,27.8306,34.7184,65.7157,+3.625
"Indiana8 seed, R64",30,B10,33,25-8,114.824,95.856,.889030,52.368,47.356,20.095,19.8245,36.157,29.133,41.937,31.060,52.340,45.151,34.9169,34.1109,34.9153,35.7218,66.8127,+4.717
New Mexico,31,MWC,33,24-9,110.454,92.423,.884931,54.123,47.872,18.123,24.042,31.1237,27.46,40.269,41.3271,49.2132,45.772,42.01,33.9103,35.6132,40.0312,64.5208,+0.2047
Ohio St.,32,B10,37,24-13,109.368,91.916,.880032,52.561,45.420,20.4124,21.4163,33.3149,35.6283,28.2322,22.11,53.618,43.621,33.7222,32.033,36.5108,40.4318,64.2220,+0.3944
Virginia Tech,33,ACC,35,21-14,106.1115,89.47,.877433,48.8205,46.535,20.9157,21.5156,34.699,29.030,39.099,33.7114,48.0182,44.127,33.7222,34.1109,28.8292,33.7145,65.9154,-0.662
"Mississippi St.8 seed, R32",34,SEC,34,23-11,108.574,92.017,.870234,52.273,42.53,21.4182,17.8320,34.797,32.7156,39.099,28.025,53.321,39.81,33.4234,31.728,36.6107,35.1201,66.8123,+0.642
"BYU8 seed, R64",35,MWC,35,27-8,106.7106,90.811,.864935,53.242,43.24,20.1102,19.7254,30.6254,26.43,37.3144,30.554,51.652,42.814,37.374,29.53,38.867,29.734,68.573,+2.629
Nebraska,36,B12,33,20-13,107.886,92.019,.859836,51.2114,47.356,20.6139,23.943,32.1195,30.057,38.6113,32.080,51.168,42.610,34.2198,36.4246,32.1218,39.1304,61.4305,-0.1757
"Miami FL7 seed, R32",37,ACC,34,23-11,112.341,96.061,.857637,49.2187,47.046,19.046,20.6193,35.185,34.0228,39.293,35.4146,45.7268,43.724,37.953,35.6200,31.0246,34.1162,66.0149,+1.633
"Arkansas9 seed, R32",38,SEC,35,23-12,111.547,95.451,.857038,51.987,48.4100,21.8204,21.2170,37.624,31.9128,37.9129,35.6153,52.340,47.4118,34.1205,33.578,30.3267,34.6180,66.9122,+0.643
