Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Gonzaga1 seed,Elite Eight",1,WCC,37,33-4,124.41,91.08,.97321,59.01,44.27,14.914,19.0137,31.576,26.8106,35.3103,25.920,61.41,43.46,36.377,30.420,35.3262,34.952,70.353,+7.212
"Virginia1 seed,CHAMPS",2,ACC,38,35-3,123.82,91.19,.97142,55.219,44.78,14.711,17.5235,30.4101,25.450,29.1277,26.321,52.574,45.722,39.57,28.93,39.5149,42.5298,59.2353,+11.12
"Texas Tech3 seed,Finals",3,B12,38,31-7,115.917,86.41,.96703,53.555,43.02,17.7120,22.812,27.4203,28.7199,32.9185,36.6269,52.869,41.92,36.567,29.712,36.0242,40.3240,65.9260,+7.013
"Michigan2 seed,Sweet Sixteen",4,B10,37,30-7,115.323,86.82,.96344,51.6126,44.15,13.94,18.0202,24.7282,24.832,27.5308,24.19,51.899,44.311,34.2175,29.16,39.9142,30.13,64.4324,+9.26
"Duke1 seed,Elite Eight",5,ACC,38,32-6,119.68,90.46,.96185,53.652,45.09,17.5108,19.4108,35.614,29.5235,33.2180,24.08,58.04,45.018,30.8326,29.914,37.3209,35.055,72.219,+11.21
"Michigan St.2 seed,Final Four",6,B10,39,32-7,120.67,92.313,.95616,55.219,43.94,18.5169,14.9342,33.926,26.491,33.6166,27.540,54.338,41.92,37.830,31.635,37.8190,37.2129,67.1202,+10.63
"North Carolina1 seed,Sweet Sixteen",7,ACC,36,29-7,120.86,92.614,.95517,52.978,48.986,17.280,18.3177,35.316,22.87,30.2255,28.460,52.191,47.973,36.281,33.5118,35.8250,43.8320,74.54,+10.04
"Kentucky2 seed,Elite Eight",8,SEC,37,30-7,118.312,91.07,.95338,53.074,46.622,18.6180,17.9211,36.88,25.554,41.914,26.826,52.965,43.67,35.4113,34.3170,29.6341,38.6183,65.3292,+8.87
"Purdue3 seed,Elite Eight",9,B10,36,26-10,123.54,95.631,.95019,53.652,49.094,15.824,18.6157,34.520,27.0115,29.9264,31.7144,51.5108,47.256,37.443,34.2160,45.532,43.2307,65.5282,+6.117
"Tennessee2 seed,Sweet Sixteen",10,SEC,37,31-6,123.53,96.542,.944710,55.318,48.148,15.824,18.0202,31.672,30.2260,33.3176,34.9232,55.422,44.714,36.761,35.4232,32.2324,40.2235,67.3194,+9.85
"Houston3 seed,Sweet Sixteen",11,Amer,37,33-4,116.616,91.611,.941111,52.1105,42.51,16.548,18.2180,34.421,26.075,31.6224,37.3282,51.3120,43.05,35.5111,27.91,42.682,41.1268,65.7272,+7.99
"Auburn5 seed,Final Four",12,SEC,40,30-10,122.05,96.439,.937612,54.431,51.7216,16.861,24.62,31.672,32.8325,30.9238,36.4265,51.7102,51.4231,38.121,34.8200,49.68,43.4312,67.8161,+6.116
"Virginia Tech4 seed,Sweet Sixteen",13,ACC,35,26-9,118.611,94.526,.931513,55.614,49.094,17.390,21.626,29.6122,27.2132,31.9211,26.321,52.965,49.0125,39.49,32.774,43.754,49.9351,63.7332,+5.020
"Kansas St.4 seed, R64",14,B12,34,25-9,108.885,89.04,.909814,49.4236,48.254,17.4102,22.812,28.3176,25.764,30.6244,30.7122,48.9226,49.0125,33.4221,31.431,38.4179,42.9302,63.4341,+6.614
"Florida St.4 seed,Sweet Sixteen",15,ACC,37,29-8,112.539,92.112,.909515,50.5176,47.228,18.9206,20.366,32.843,27.0115,35.890,35.7246,50.9143,45.321,33.2230,33.5118,37.7193,38.8188,68.5121,+7.710
"Iowa St.6 seed, R64",16,B12,35,23-12,119.19,97.855,.906216,54.726,48.464,16.339,18.8149,28.3176,30.1258,30.0262,23.64,55.024,47.154,36.281,33.6122,39.6146,39.2198,67.5171,+4.322
"Kansas4 seed, R32",17,B12,36,26-10,113.728,93.717,.903017,52.693,47.841,18.8194,18.2180,30.1107,27.9164,32.5196,27.846,52.673,46.025,35.0133,33.6122,34.9274,41.8281,69.968,+8.38
"LSU3 seed,Sweet Sixteen",18,SEC,35,28-7,118.710,97.958,.902018,51.2143,49.9133,17.9131,20.175,36.79,30.8272,37.163,33.1190,52.965,49.4140,31.9290,33.7128,34.2291,40.0231,69.674,+7.311
"Wisconsin5 seed, R64",19,B10,34,23-11,109.082,89.85,.902019,51.1152,45.211,14.68,17.2255,24.5287,26.594,27.3309,25.819,49.7197,44.110,35.993,31.533,34.6278,35.055,63.4340,+6.215
"Louisville7 seed, R64",20,ACC,34,20-14,113.729,94.322,.896220,50.9165,46.723,17.5108,16.1313,29.1142,25.969,34.9114,32.0153,50.6157,46.025,34.2175,32.047,43.754,37.2129,67.1201,+2.332
"UCF9 seed, R32",21,Amer,33,24-9,113.630,94.424,.893721,52.978,45.412,17.6115,18.0202,29.5126,29.6241,45.32,29.277,52.094,44.513,36.567,31.330,35.6254,38.4173,64.9307,+2.234
Texas,22,B12,37,21-16,114.125,94.927,.892622,50.9165,48.778,16.235,18.9142,28.1184,29.5235,29.7269,29.788,49.8194,46.230,34.8147,35.4232,43.558,35.880,64.6320,-0.559
"Mississippi St.5 seed, R64",23,SEC,34,23-11,117.713,98.060,.891623,54.627,50.3153,19.2225,19.5103,34.719,29.6241,32.7189,32.1158,53.452,48.492,37.734,35.7253,39.1158,36.6105,67.4179,+4.621
"Florida10 seed, R32",24,SEC,36,20-16,111.156,92.916,.887624,49.8214,48.148,17.9131,22.417,30.697,32.2313,29.9264,33.6204,49.5204,48.598,33.4221,31.635,43.366,38.1160,62.7345,+0.647
"Wofford7 seed, R32",25,SC,35,30-5,117.314,98.262,.886025,57.54,49.9133,16.130,19.1128,31.863,25.246,27.8301,31.8147,53.943,50.6195,41.42,32.672,43.949,39.9227,65.5281,+4.223

"Cincinnati7 seed, R64",26,Amer,35,28-7,113.235,95.028,.882226,49.0254,48.675,16.027,20.944,37.44,29.3224,37.653,30.5113,47.6267,45.119,34.5163,35.5240,33.3304,42.8300,63.5336,+5.918
"VCU8 seed, R64",27,A10,33,25-8,105.6153,88.73,.881227,50.1198,43.53,20.0275,23.47,31.086,30.6267,35.794,36.6269,53.161,43.89,30.5332,28.52,41.2103,33.219,68.3130,+1.440
"Maryland6 seed, R32",28,B10,34,23-11,112.441,94.525,.880128,51.4135,45.916,19.4237,14.1352,34.124,24.832,32.8186,26.625,50.8146,44.714,34.9142,31.945,37.0217,39.4207,66.2242,+4.224
"Buffalo6 seed, R32",29,MAC,36,32-4,114.524,96.438,.879029,53.459,47.330,16.027,20.366,31.769,26.9109,32.7189,31.9150,55.716,49.3136,33.7207,29.38,44.145,35.986,73.511,+5.719
Clemson,30,ACC,34,20-14,108.0107,91.510,.870830,50.7170,47.636,19.7257,19.886,27.8195,24.524,33.5170,30.097,51.5108,44.412,32.8248,35.0210,35.6254,39.6218,65.9256,+0.1450
