Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Washington11 seed,Sweet Sixteen",28,P10,36,26-10,113.038,93.730,.895828,49.7128,46.563,17.536,22.067,36.940,32.2150,40.990,44.6289,49.5101,45.992,33.6195,32.169,25.7311,27.126,71.710,+1.240
"Oklahoma St.7 seed, R64",29,B12,33,22-11,114.426,95.146,.893529,52.441,48.1134,18.469,19.4228,29.1287,27.919,36.5202,37.2170,52.521,45.060,34.9131,36.1266,42.119,34.2234,66.0161,+1.833
"Notre Dame6 seed, R64",30,BE,35,23-12,120.35,100.4125,.888630,53.720,49.3177,16.09,15.9341,34.794,30.578,38.1147,27.814,51.347,47.8173,38.819,34.9212,34.5116,33.3203,63.1278,+0.4545
"Georgia Tech10 seed, R32",31,ACC,35,22-13,109.862,91.717,.888531,50.396,44.317,23.2313,21.398,38.324,33.7222,37.7164,34.8116,49.0117,42.814,35.893,31.346,28.3278,35.5273,68.168,+1.439
"Florida St.9 seed, R64",32,ACC,32,22-10,104.5144,87.32,.888132,50.591,43.56,24.3327,23.618,38.128,32.4162,38.6133,34.8116,50.763,40.32,33.5199,32.897,32.1173,35.3269,65.6182,+2.826
"Tennessee6 seed,Elite Eight",33,SEC,37,28-9,109.567,91.515,.887133,50.687,45.235,18.996,23.133,33.5142,32.3158,35.6222,40.7232,51.835,45.782,32.0256,29.79,31.3195,38.1313,67.583,+3.917
"UNLV8 seed, R64",34,MWC,33,24-9,111.647,93.327,.886434,52.244,45.847,17.228,22.743,29.0289,30.890,30.9311,47.2310,53.413,43.218,33.3207,33.7144,35.596,34.5244,66.2150,+1.043
"UTEP12 seed, R64",35,CUSA,33,26-7,108.482,90.910,.883935,52.834,44.621,18.788,22.357,28.9293,30.269,39.6115,43.2274,53.413,43.422,34.3158,31.346,31.2199,34.8254,67.877,+2.329
"Pittsburgh3 seed, R32",36,BE,34,25-9,111.846,93.729,.883536,49.6131,44.621,19.4122,16.9331,37.038,31.1101,42.864,33.893,48.9126,43.624,34.3158,31.451,29.1261,29.159,60.9327,+3.721
Dayton,37,A10,37,25-12,107.2103,90.38,.878337,50.687,44.724,21.3226,20.7142,34.3112,27.413,38.5136,40.8233,50.081,44.034,34.5146,30.729,36.379,35.7280,65.1211,-2.079
"Gonzaga8 seed, R32",38,WCC,33,26-7,112.441,95.042,.874338,54.018,46.875,18.684,18.2279,32.0197,28.628,49.27,34.299,54.47,44.853,35.5109,33.9155,27.9281,32.6179,67.878,+2.628
"Old Dominion11 seed, R32",39,CAA,36,27-9,108.188,91.313,.874139,48.8165,45.541,20.1156,22.452,42.41,30.269,30.3318,29.725,49.2109,45.888,31.7267,30.013,25.4318,35.0261,62.1309,+0.844
"Vanderbilt4 seed, R64",40,SEC,32,23-9,114.127,96.563,.872640,52.639,47.086,19.3116,19.2238,32.6176,35.1278,48.310,34.5105,51.541,45.268,36.959,33.9155,29.9241,31.2119,68.169,+3.324
Mississippi St.,41,SEC,36,24-12,110.755,94.034,.867341,51.462,44.010,18.576,16.6336,30.6237,30.578,35.3236,24.84,49.5101,41.89,35.893,32.584,44.510,31.8138,66.2146,+0.1449
"Saint Mary's10 seed,Sweet Sixteen",42,WCC,33,27-6,115.919,98.692,.864542,55.37,46.153,17.124,16.0340,34.3112,31.1101,32.7294,30.237,52.225,46.3113,40.66,30.219,35.986,23.33,66.1155,+2.031
Arizona St.,43,P10,33,22-11,110.953,94.538,.863743,53.426,45.642,19.1102,20.8133,28.3302,31.0100,38.0155,34.8116,51.930,44.546,36.959,31.758,44.79,33.8224,60.9326,+0.0950
"San Diego St.11 seed, R64",44,MWC,32,23-9,111.548,95.349,.858044,51.752,46.981,20.8189,20.6150,40.18,31.9132,41.089,31.655,53.512,43.116,31.8262,36.1266,30.8216,34.2234,62.7295,+1.438
"New Mexico3 seed, R32",45,MWC,35,30-5,114.823,98.588,.854345,50.687,49.5191,16.210,19.9198,35.474,27.210,44.934,35.0121,47.8167,49.1228,36.959,33.3119,36.576,39.8335,66.9121,+5.012
Virginia Tech,46,ACC,34,25-9,108.483,93.026,.853746,46.6264,44.621,17.743,22.164,35.667,34.0233,42.962,35.1123,46.8206,44.439,30.7299,30.013,25.6315,31.1117,66.6133,+2.330
"Louisville9 seed, R64",47,BE,33,20-13,114.824,98.690,.852547,51.462,48.5149,20.0148,22.357,39.89,36.9313,35.7220,41.0237,51.930,46.7127,33.7190,34.7200,39.640,32.2162,65.8171,-0.1160
"Richmond7 seed, R64",48,A10,35,26-9,109.171,93.933,.848448,51.175,44.214,16.920,22.743,26.5326,35.8293,32.4297,36.2141,49.984,43.829,35.5109,30.118,36.281,31.2119,62.3302,+2.727
"Cornell12 seed,Sweet Sixteen",49,Ivy,32,27-5,118.08,101.9156,.844349,56.53,48.1134,18.684,20.7142,32.1190,29.961,29.1327,38.5195,51.152,46.6124,43.21,34.3181,39.934,31.8138,64.2246,+2.032
"Florida10 seed, R64",50,SEC,34,21-13,113.334,98.284,.839550,49.4139,48.4144,18.576,20.3173,37.038,32.8179,33.4282,27.713,50.666,48.3194,31.3280,32.584,32.3169,32.9190,64.1249,-0.0259

VCU,51,CAA,36,27-9,113.830,98.691,.838851,52.244,46.981,17.948,20.8133,36.451,33.7222,35.3236,30.641,50.954,47.5158,36.666,30.219,32.6160,26.922,67.874,-2.588
Memphis,52,CUSA,34,24-10,115.521,100.1117,.838752,53.623,46.563,17.124,22.452,32.1190,36.3302,44.442,41.2243,50.666,45.476,38.819,32.9103,39.441,27.931,65.2208,-0.865
Mississippi,53,SEC,35,24-11,112.939,97.879,.838753,51.656,46.458,17.021,19.8204,34.794,33.2198,33.4282,38.2187,50.375,44.648,36.179,33.4127,36.379,32.6179,68.363,+0.4246
"Wake Forest9 seed, R32",54,ACC,31,20-11,107.695,93.628,.831654,47.0251,43.88,21.1208,19.1244,38.817,33.7222,40.894,38.5195,47.2197,43.829,30.8298,29.26,23.3339,32.4175,68.555,+1.042
Illinois,55,B10,36,21-15,109.170,95.043,.831055,50.1103,46.458,18.159,17.7305,32.2187,30.269,27.3341,31.861,49.889,45.268,34.0179,32.169,30.3230,39.7333,66.4142,-0.866
Connecticut,56,BE,34,18-16,107.693,93.832,.828856,48.2191,44.214,21.8252,18.1286,38.718,35.2281,44.245,26.69,48.6137,42.814,31.0293,31.653,21.5344,30.285,67.298,-2.485
St. John's,57,BE,33,17-16,107.991,94.437,.824157,47.3238,48.1134,18.788,20.4164,35.569,30.890,31.6307,34.9119,46.1229,45.782,33.5199,35.9260,29.5251,29.159,64.3241,-2.381
Miami FL,58,ACC,32,19-13,113.335,99.2100,.822258,52.738,46.668,21.0204,20.0190,34.6100,32.2150,37.0183,36.2141,51.930,45.268,35.988,32.9103,36.774,34.6245,64.6226,-2.078
Alabama,59,SEC,32,17-15,108.776,95.551,.815359,49.0155,47.7115,19.5127,21.2109,35.087,34.2243,34.3262,36.5149,47.6177,47.7170,35.0125,31.862,27.9281,32.9190,63.8262,-4.0103
UAB,60,CUSA,34,25-9,104.7142,92.120,.814860,47.1249,45.132,20.3164,21.496,35.765,28.224,45.726,37.6177,47.4190,44.439,31.1288,31.346,31.5191,28.445,64.0252,-0.0258
USC,61,P10,30,16-14,98.1249,86.61,.808061,46.1279,43.24,22.8301,19.9198,34.2117,29.757,35.5229,37.9180,46.6213,41.03,29.7319,32.376,23.2340,29.979,61.4317,-3.796
Seton Hall,62,BE,32,19-13,113.236,100.0113,.807362,49.5137,47.499,14.73,19.1244,36.059,37.4324,33.3285,35.6131,49.3105,46.9131,33.3207,32.376,29.8244,30.082,69.631,-0.4664
Wichita St.,63,MVC,34,24-10,109.468,96.967,.800963,50.981,47.8116,20.4175,21.398,34.3112,26.54,37.6166,42.8269,49.3105,46.4117,35.988,33.9155,34.3124,30.6100,64.3240,-0.3262
Rhode Island,64,A10,36,26-10,113.137,100.4126,.797764,49.8126,50.9263,15.85,22.452,35.378,36.0295,33.5280,30.033,49.795,50.7288,33.3207,34.2173,31.7183,26.215,67.0113,+0.3647
Boston College,65,ACC,31,15-16,111.944,99.4102,.796465,49.1151,47.9123,19.3116,17.8297,38.522,31.7121,30.5314,31.045,49.2109,48.9219,32.6234,30.219,27.3293,28.343,64.2247,-4.5112
"Siena13 seed, R64",66,MAAC,34,27-7,108.775,96.664,.796166,49.3142,48.0130,17.433,21.682,35.569,29.551,38.7129,21.41,49.795,47.4152,32.1251,32.897,24.3333,31.3125,69.334,+1.141
"Murray St.13 seed, R32",67,OVC,34,29-5,107.694,95.652,.795067,55.28,44.010,21.5238,23.816,39.213,32.8179,42.073,34.7113,54.38,41.03,38.130,34.0162,31.1204,29.568,65.5191,+0.2348
Cincinnati,68,BE,35,19-16,106.9112,95.147,.792368,47.6223,47.292,19.4122,18.0292,38.324,29.448,32.2300,36.0138,49.5101,45.162,29.1330,34.0162,33.0153,34.6245,65.1215,-1.671
Wright St.,69,Horz,32,20-12,108.579,97.169,.782969,51.462,49.4185,18.576,24.88,31.6204,30.166,34.1265,44.2286,49.2109,47.5158,36.666,35.5246,38.848,32.9190,61.8311,-3.9102
Iowa St.,70,B12,32,15-17,107.499,96.157,.781770,49.9120,47.396,19.7132,17.9294,33.0163,31.6119,36.9187,27.111,47.3195,45.992,37.348,33.4127,30.0235,31.7135,67.681,-4.1106
North Carolina,71,ACC,37,20-17,106.9108,95.754,.781771,48.0201,47.187,20.8189,18.8256,39.014,32.7171,37.3175,24.53,47.6177,44.957,32.8225,34.3181,23.4338,34.7250,70.223,-2.789
Texas Tech,72,B12,35,19-16,108.874,97.474,.780272,48.5178,47.8116,18.576,19.8204,32.1190,35.0273,42.864,41.0237,46.1229,47.4152,37.154,32.478,25.1323,31.2119,70.419,-1.976
Missouri St.,73,MVC,36,24-12,111.845,100.2119,.779273,51.274,49.3177,17.330,19.7211,33.2155,27.616,36.3207,36.8157,49.3105,46.098,36.666,37.6312,34.5116,32.0153,64.4238,-4.3110
South Florida,74,BE,33,20-13,107.2102,96.261,.776874,47.9205,47.499,19.2109,18.1286,34.3112,34.1237,45.332,32.977,49.984,47.2142,28.3339,31.964,26.8296,29.466,63.8264,-1.068
N.C. State,75,ACC,36,20-16,105.8127,95.145,.774875,48.3184,46.357,19.9141,20.0190,33.0163,34.4253,36.6198,36.6152,47.6177,46.3113,33.3207,30.939,29.4253,26.318,63.9258,+0.0051

Michigan,76,B10,31,14-17,106.9107,96.158,.773376,47.5227,50.1219,16.312,22.839,29.2283,34.7263,28.7329,25.97,49.889,50.5285,29.7319,32.897,43.312,32.0153,61.6314,-4.7116
Marshall,77,CUSA,31,21-10,109.961,99.5104,.758777,51.752,45.336,18.362,17.8297,33.9131,32.9186,46.021,36.4145,50.573,43.932,36.375,32.689,29.7247,27.931,68.458,-1.873
Colorado,78,B12,29,13-16,113.631,103.0180,.754678,53.426,51.7293,19.2109,21.682,23.6340,37.9331,44.539,46.8308,51.541,51.9320,38.227,34.2173,32.8157,29.774,66.9116,-4.5114
"Wofford13 seed, R64",79,SC,34,25-9,104.8141,95.044,.754579,49.1151,46.563,18.362,21.398,33.6139,29.242,44.148,35.7133,47.7175,46.8129,34.8137,30.627,30.8216,30.596,63.0283,-1.772
Nevada,80,WAC,33,20-13,113.433,102.9177,.752180,53.426,48.7155,16.717,15.7342,32.0197,32.2150,34.3262,31.861,53.017,47.1135,36.375,35.2224,29.9241,27.427,68.265,-3.899
Georgia,81,SEC,31,14-17,111.052,100.8135,.751981,50.1103,48.4144,22.8301,17.9294,38.226,32.7171,38.5136,32.368,48.6137,47.6165,36.666,33.5137,24.6330,31.9147,63.7267,-5.1119
Tulsa,82,CUSA,34,22-12,107.2100,98.081,.738382,50.1103,44.113,19.7132,15.1344,33.8135,27.919,46.817,36.4145,49.1114,43.319,35.4113,31.040,26.1306,26.821,65.5186,-1.469
Northeastern,83,CAA,33,20-13,105.3140,96.260,.738183,50.0114,46.256,18.893,22.548,30.7231,36.7306,34.7252,28.919,49.5101,44.034,34.1173,34.4187,30.0235,28.954,60.1333,-4.2107
Providence,84,BE,31,12-19,117.013,107.0259,.736084,49.3142,52.0309,17.124,18.2279,41.53,37.3321,33.9269,38.2187,49.2109,52.2327,33.0221,34.3181,35.889,28.547,72.96,-6.9149
