Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Gonzaga1 seed,Finals",1,WCC,39,37-2,118.517,87.21,.97131,56.68,41.11,16.235,17.1264,30.0142,26.248,39.076,26.919,56.37,40.02,38.240,29.02,32.8256,32.139,70.275,+7.88
"North Carolina1 seed,CHAMPS",2,ACC,40,33-7,121.69,92.49,.95922,51.7111,48.168,16.235,18.6164,41.31,25.025,34.3206,31.682,51.098,46.359,35.5147,33.9106,30.3305,39.3272,71.435,+8.35
"Villanova1 seed, R32",3,BE,36,32-4,122.95,93.518,.95863,57.54,48.168,17.173,20.168,30.2137,27.8109,35.0177,22.11,59.22,49.1159,36.984,31.117,43.330,40.0292,64.3320,+11.01
"Florida4 seed,Elite Eight",4,SEC,36,27-9,117.323,90.03,.95484,51.6116,45.818,16.960,21.032,32.173,29.5190,40.255,34.0152,50.3129,45.742,35.9127,30.510,36.6169,31.327,68.9125,+6.314
"Kentucky2 seed,Elite Eight",5,SEC,38,32-6,119.113,92.37,.94935,52.965,47.543,15.719,19.2133,33.549,27.7104,40.940,33.5133,52.942,48.3128,35.3154,30.611,31.6287,33.363,72.422,+9.03
"West Virginia4 seed,Sweet Sixteen",6,B12,37,28-9,116.030,90.35,.94716,51.3136,48.894,17.067,27.61,37.96,31.9287,38.977,42.5313,49.8152,46.562,36.2111,35.3183,32.5266,36.3174,70.953,+6.313
"Virginia5 seed, R32",7,ACC,34,23-11,112.548,87.92,.94487,52.482,46.121,15.616,20.744,28.3207,24.513,26.0345,33.8146,49.7158,45.125,38.528,31.729,33.0252,39.8289,59.0351,+5.022
"Louisville2 seed, R32",8,ACC,34,25-9,118.221,92.48,.94478,51.4126,45.717,16.025,19.698,36.713,28.5141,34.0219,38.8244,50.5120,44.823,35.5147,31.626,32.1279,35.6152,68.1187,+6.89
"Kansas1 seed,Elite Eight",9,B12,36,31-5,122.28,95.632,.94429,56.112,48.168,17.698,18.6164,34.136,29.7200,36.0159,30.055,53.629,45.329,40.45,35.6198,35.9183,34.297,70.084,+10.92
"Duke2 seed, R32",10,ACC,37,28-9,122.86,96.543,.940810,54.828,47.439,16.341,17.3251,31.783,29.8203,39.372,31.275,53.532,48.9149,37.949,29.34,38.3125,28.88,68.3171,+8.54
"SMU6 seed, R64",11,Amer,35,30-5,120.910,95.129,.940511,54.631,46.019,16.960,18.3185,37.210,26.454,36.0159,24.67,51.098,44.117,40.63,32.135,36.4176,45.5344,63.4332,+6.511
"Wichita St.10 seed, R32",12,MVC,36,31-5,118.122,93.216,.938212,54.234,43.84,16.235,19.3124,34.233,24.29,40.450,35.1175,50.7111,42.07,40.210,31.219,36.6169,38.6248,68.6149,+4.224
"Michigan7 seed,Sweet Sixteen",13,B10,38,26-12,124.02,98.663,.933313,57.06,51.9224,14.24,19.5107,24.7304,30.0211,30.1299,27.223,56.37,50.0199,38.528,37.8307,45.117,28.88,62.6343,+3.827
"Saint Mary's7 seed, R32",14,WCC,34,29-5,118.915,94.724,.931514,57.82,45.312,17.593,15.3332,33.155,21.92,27.8332,26.616,56.95,45.433,39.415,30.07,41.456,27.76,59.9350,+4.025
"Oregon3 seed,Final Four",15,P12,39,33-6,118.518,94.826,.928415,55.517,46.427,17.173,19.3124,32.470,29.5190,34.4201,26.312,54.521,46.154,38.046,31.219,38.9112,37.6220,67.1232,+6.015
"Cincinnati6 seed, R32",16,Amer,36,30-6,116.031,93.012,.927216,52.0102,45.211,15.314,20.263,35.522,29.4181,32.5259,29.141,52.158,41.45,34.5189,34.4131,36.1180,37.0204,64.0326,+5.718
"Purdue4 seed,Sweet Sixteen",17,B10,35,27-8,117.324,94.121,.926017,55.715,47.751,18.3151,16.6289,30.8112,24.412,33.3239,22.93,52.746,46.665,40.36,33.277,38.3125,34.087,69.1115,+5.619
"Iowa St.5 seed, R32",18,B12,35,24-11,120.611,97.249,.922518,55.024,49.0101,14.13,19.5107,25.7281,31.6276,27.6336,25.610,51.872,47.593,40.012,34.6142,39.3104,35.9162,68.2179,+6.412
"Wisconsin8 seed,Sweet Sixteen",19,B10,37,27-10,115.334,93.114,.921619,52.197,47.543,17.067,19.5107,35.918,25.942,32.9249,28.031,51.195,43.111,35.9127,37.6302,36.9159,33.573,63.0338,+5.121
"Oklahoma St.10 seed, R64",20,B12,33,20-13,127.41,103.4149,.917120,54.039,53.2296,18.2142,20.355,38.34,31.9287,37.4116,45.4335,50.4123,52.4289,40.36,36.4256,35.7192,34.9128,71.633,+3.331
"Notre Dame5 seed, R32",21,ACC,36,26-10,120.012,97.451,.917021,53.649,49.1109,14.02,18.7159,27.3237,30.8244,28.6326,26.718,50.9103,48.2124,38.433,33.8100,40.674,34.8122,66.9236,+5.916
"Baylor3 seed,Sweet Sixteen",22,B12,35,27-8,117.025,95.028,.916822,52.575,46.121,20.6306,17.1264,39.83,29.4181,33.9221,30.158,52.254,45.024,35.3154,32.241,32.8256,34.7115,63.7330,+7.87
"UCLA3 seed,Sweet Sixteen",23,P12,36,31-5,123.53,100.590,.914823,59.81,48.788,15.110,15.8318,29.1183,28.6152,26.8342,25.49,59.13,45.329,40.63,36.5261,37.6147,35.8161,73.311,+6.710
"Arizona2 seed,Sweet Sixteen",24,P12,37,32-5,118.420,96.542,.913224,53.746,47.751,16.649,17.4244,33.253,26.045,40.547,28.637,51.582,48.4133,39.018,31.014,30.5303,36.4178,65.7286,+7.96
"South Carolina7 seed,Final Four",25,SEC,37,26-11,109.483,90.04,.903925,47.3304,45.515,18.4159,24.34,34.040,31.6276,40.255,44.5330,45.9297,45.433,33.4241,30.611,33.5246,34.8122,68.2177,+1.739

"Butler4 seed,Sweet Sixteen",26,BE,34,25-9,118.519,97.857,.900426,54.631,50.8185,15.09,19.698,27.2240,27.073,37.1128,37.0213,54.521,51.3244,36.694,33.382,37.6147,37.7223,65.9276,+5.520
"Florida St.3 seed, R32",27,ACC,35,26-9,116.129,96.237,.896927,53.746,47.959,16.444,19.5107,33.844,29.8203,38.483,37.3219,54.423,45.433,34.7177,34.9163,31.3291,36.1168,71.436,+5.917
"Creighton6 seed, R64",28,BE,35,25-10,115.235,96.238,.887928,57.63,49.9138,17.173,19.3124,24.2315,29.6193,27.9331,29.346,56.46,50.2211,39.813,33.071,35.9183,36.8197,71.340,+4.223
"Vanderbilt9 seed, R64",29,SEC,35,19-16,113.144,94.725,.884529,52.197,48.168,18.2142,16.1311,24.8302,27.073,34.8187,30.766,48.1226,46.873,37.658,33.8100,48.66,33.056,65.7290,+0.0854
"Marquette10 seed, R64",30,BE,32,19-13,122.57,102.9129,.881530,57.54,52.2239,17.381,18.3185,27.1246,29.2173,31.0283,35.7189,52.746,50.6224,42.91,36.8271,41.554,34.297,70.276,+0.649
"Wake Forest11 seed, R68",31,ACC,33,19-14,123.04,103.7157,.877331,54.136,52.7269,16.444,16.2305,30.7119,27.7104,40.743,38.0228,52.158,52.1272,38.528,35.8214,35.7192,38.8256,70.759,+1.345
"Kansas St.11 seed, R64",32,B12,35,21-14,112.946,95.330,.876332,52.768,49.6122,19.1219,22.118,29.5163,32.3296,41.135,33.4129,51.872,45.540,36.2111,38.2322,36.3178,34.087,65.8281,+1.640
"Miami FL8 seed, R64",33,ACC,33,21-12,111.460,94.120,.874533,51.0153,47.648,19.5243,18.3185,33.451,28.2127,34.3206,28.739,49.8152,46.665,35.6138,33.071,32.6264,34.7115,63.3336,+2.932
"Rhode Island11 seed, R32",34,A10,35,25-10,112.054,95.027,.870134,50.8165,45.09,16.444,19.4117,32.863,29.7200,39.273,45.0334,51.293,45.433,33.3247,29.55,32.3271,30.017,66.4263,+0.4850
"Xavier11 seed,Elite Eight",35,BE,38,24-14,116.327,98.964,.865835,51.9106,51.6214,18.4159,17.5233,34.530,25.533,41.135,33.4129,52.064,52.5291,34.5189,33.486,36.1180,39.5283,67.0233,+1.642
"Minnesota5 seed, R64",36,B10,34,24-10,110.170,93.919,.862336,48.7242,45.110,16.130,17.6222,29.7154,30.2222,39.668,29.243,47.5252,44.521,34.3198,30.913,29.9315,33.261,69.5100,+3.728
