Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Ohio St.1 seed,Sweet Sixteen",1,B10,37,34-3,126.01,91.811,.97421,56.32,48.3126,15.87,23.231,35.760,28.435,37.1193,20.61,52.912,46.9130,42.31,34.0147,32.7171,34.6231,63.8246,+11.71
"Kansas1 seed,Elite Eight",2,B12,38,35-3,120.94,91.06,.96332,57.01,44.511,19.1111,20.1159,36.729,27.920,39.3123,31.957,56.81,44.542,38.224,29.89,32.4179,34.6231,68.048,+10.22
"Duke1 seed,Sweet Sixteen",3,ACC,37,32-5,120.65,91.58,.96003,53.717,44.511,17.229,21.0100,35.179,33.2214,37.4183,29.632,52.516,43.116,37.445,32.458,35.3113,24.55,68.538,+9.33
"Texas4 seed, R32",4,B12,36,28-8,115.521,90.02,.94604,50.2108,42.53,17.331,18.8248,38.29,30.693,43.147,30.743,48.1158,41.95,37.636,29.56,25.5324,26.112,65.5157,+5.413
"Kentucky4 seed,Final Four",5,SEC,38,29-9,119.37,93.422,.94375,52.341,44.29,16.110,18.2274,34.397,30.798,36.1219,30.138,48.8123,42.46,39.79,32.458,32.4179,29.772,64.8191,+5.215
"Pittsburgh1 seed, R32",6,BE,34,28-6,119.86,94.126,.94136,52.928,45.118,18.475,17.5303,42.92,28.642,43.147,32.361,50.561,43.219,39.511,32.668,27.4292,33.0184,62.2305,+7.56
"Wisconsin4 seed,Sweet Sixteen",7,B10,34,25-9,123.13,97.865,.93337,51.854,48.2122,13.11,16.8321,33.8113,27.111,29.5328,32.972,48.9117,45.264,37.445,37.0299,41.222,29.461,56.5345,+5.612
"Notre Dame2 seed, R32",8,BE,34,27-7,123.12,98.170,.93178,53.519,46.762,16.414,15.8337,33.4131,29.564,45.128,25.63,50.752,43.624,38.621,35.3218,38.648,33.2193,63.0276,+7.75
"Purdue3 seed, R32",9,B10,34,26-8,115.222,92.013,.92969,50.789,46.035,15.76,21.289,32.4163,29.770,34.4259,30.441,48.8123,44.956,36.472,32.668,33.0161,27.931,65.6152,+7.09
"San Diego St.2 seed,Sweet Sixteen",10,MWC,35,32-3,113.729,90.95,.929010,50.5101,44.18,16.920,19.4205,37.517,29.875,31.1311,28.019,50.272,42.711,34.2176,31.631,30.0245,29.669,62.2306,+8.74
"North Carolina2 seed,Elite Eight",11,ACC,37,29-8,112.739,90.74,.924211,49.1168,46.243,18.370,19.6193,37.125,30.178,37.9164,24.82,49.1110,44.438,32.8245,33.197,25.0327,34.5228,70.417,+7.37
"Illinois9 seed, R32",12,B10,34,20-14,114.925,92.516,.923212,52.928,45.729,19.2116,18.3268,31.7191,31.5130,28.2336,32.769,50.561,45.781,38.720,30.513,31.4212,34.8235,65.2170,+1.436
"Connecticut3 seed,CHAMPS",13,BE,41,32-9,115.818,93.623,.920113,48.2211,44.511,17.126,17.4310,38.77,34.1256,33.8268,26.810,47.7176,42.46,32.9234,32.772,29.3257,32.2155,64.2229,+6.810
"Louisville4 seed, R64",14,BE,35,25-10,111.848,90.63,.918214,52.635,44.511,19.0106,23.424,34.885,35.2286,29.9323,39.8222,51.531,43.421,36.276,31.122,40.728,33.0184,66.6102,+4.617
"Syracuse3 seed, R32",15,BE,34,26-8,115.024,93.221,.917815,53.222,45.221,18.891,20.7120,36.634,33.5235,35.9227,29.735,52.912,44.438,35.890,31.122,31.5208,38.5318,64.9185,+6.011
"BYU3 seed,Sweet Sixteen",16,MWC,36,31-5,117.213,95.240,.915716,51.659,46.762,15.23,20.2153,30.8225,28.538,38.1153,33.684,50.272,45.264,35.984,33.3103,37.858,30.595,70.020,+7.28
"Florida2 seed,Elite Eight",17,SEC,37,29-8,116.417,95.442,.908117,52.145,47.280,18.788,19.1226,37.222,30.077,35.7236,27.817,51.724,47.5159,35.2119,31.122,31.7202,33.2193,62.4295,+5.214
