Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Villanova1 seed,CHAMPS",1,BE,40,36-4,128.71,94.415,.97251,59.51,48.555,15.013,18.2183,29.6140,27.196,29.4286,26.732,59.03,49.0139,40.110,31.714,47.59,35.7114,68.4163,+10.62
"Virginia1 seed, R64",2,ACC,34,31-3,115.030,87.11,.96052,52.794,44.33,14.03,20.939,27.0229,25.648,24.5344,26.224,50.1167,42.83,38.336,31.09,35.0242,40.8283,59.3351,+11.31
"Duke2 seed,Elite Eight",3,ACC,37,29-8,122.73,93.37,.95873,55.918,46.412,17.5116,17.3243,38.81,30.0236,34.6134,22.31,56.015,45.417,37.264,32.022,36.3193,36.8147,69.791,+6.69
"Purdue2 seed,Sweet Sixteen",4,B10,37,30-7,123.62,96.134,.94764,57.75,47.019,15.829,17.7220,28.0197,28.0141,35.6106,24.28,54.140,45.522,42.02,33.267,40.1101,34.475,67.5209,+7.66
"Cincinnati2 seed, R32",5,Amer,36,31-5,112.156,87.92,.94285,51.2157,43.32,17.073,21.619,38.52,28.2150,36.097,26.833,50.2163,41.42,35.3146,30.96,35.3230,37.8197,65.0322,+6.011
"Kansas1 seed,Final Four",6,B12,39,31-8,122.54,96.742,.93816,57.58,49.176,16.652,18.2183,29.4145,31.2283,27.0329,24.610,55.620,48.6117,40.110,33.376,41.283,39.1234,68.7146,+8.24
"Michigan3 seed,Finals",7,B10,41,33-8,114.734,90.73,.93727,53.956,47.736,14.03,19.599,25.5274,24.934,30.7257,30.090,54.733,46.852,35.2154,33.267,43.159,30.26,64.7327,+6.98
"West Virginia5 seed,Sweet Sixteen",8,B12,37,26-11,121.27,96.235,.93458,50.4189,49.9118,16.544,23.32,37.04,30.1241,31.3236,44.1337,48.8207,45.417,35.3146,38.0314,38.4141,38.6220,70.079,+4.614
"Michigan St.3 seed, R32",9,B10,35,30-5,119.211,94.717,.93409,56.912,42.71,19.2231,14.6340,37.04,26.677,35.998,30.7110,55.224,38.41,40.110,33.7102,36.3193,35.5101,66.8238,+8.05
"Xavier1 seed, R32",10,BE,35,29-6,121.35,97.755,.923810,55.918,49.9118,17.285,15.7315,30.2124,23.114,41.024,25.617,55.916,49.8165,37.264,33.485,35.8213,41.1289,70.561,+8.83
"North Carolina2 seed, R32",11,ACC,37,26-11,121.08,97.450,.923611,52.0123,50.1131,16.758,16.3295,37.43,25.546,28.0314,26.022,51.0136,45.316,35.9109,38.0314,35.1238,40.9286,71.441,+7.17
"Tennessee3 seed, R32",12,SEC,35,26-9,114.536,92.46,.921812,50.8173,46.714,17.9140,20.453,33.440,31.1279,35.5107,37.6264,47.3275,46.135,38.045,31.817,35.7217,36.5134,65.9282,+6.410
"Gonzaga4 seed,Sweet Sixteen",13,WCC,37,32-5,117.615,95.221,.918813,57.011,47.123,16.135,17.4236,33.046,23.114,32.1214,29.165,58.25,44.110,36.884,35.0168,39.4116,35.7114,69.4108,+4.912
"Texas Tech3 seed,Elite Eight",14,B12,37,27-10,113.149,91.84,.916514,52.0123,46.412,17.8131,21.717,32.948,28.7176,39.337,38.0271,51.1130,45.114,35.9109,32.331,33.5276,38.4214,66.3262,+4.713
"Ohio St.5 seed, R32",15,B10,34,25-9,116.322,94.616,.914615,54.149,48.761,17.181,17.9206,30.2124,25.241,31.1243,29.574,54.733,46.135,35.3146,35.1177,34.2260,39.9259,67.0235,+4.515
Penn St.,16,B10,39,26-13,115.328,93.910,.913416,52.6100,48.345,17.397,19.599,31.776,28.2150,31.5232,32.1144,49.8175,46.748,38.732,34.2126,33.1284,33.650,67.5210,-0.4657
"Florida6 seed, R32",17,SEC,34,21-13,115.626,94.213,.912717,50.8173,48.761,14.36,20.076,28.7175,30.5251,32.6199,32.4151,47.6263,46.646,37.077,35.2186,40.493,33.444,67.3221,+1.436
"Houston6 seed, R32",18,Amer,35,27-8,115.229,94.314,.908818,53.375,45.56,17.5116,19.1122,33.831,25.855,32.6199,41.6319,50.5153,43.87,38.732,32.331,37.2168,37.9198,68.2172,+2.526
"Butler10 seed, R32",19,BE,35,21-14,116.420,95.727,.905419,54.054,51.9226,15.726,19.599,27.6210,24.628,26.1335,35.3225,54.337,49.5159,35.7124,37.3291,37.4160,37.6186,67.9189,+1.733
"Kentucky5 seed,Sweet Sixteen",20,SEC,37,26-11,116.223,96.032,.899520,51.8131,46.817,18.6180,16.8269,35.78,31.0275,44.04,32.3149,51.2124,48.089,35.7124,30.14,25.8344,42.6310,68.8140,+4.316
"Clemson5 seed,Sweet Sixteen",21,ACC,35,25-10,112.952,93.48,.897821,52.986,47.227,17.4103,17.4236,27.2221,26.368,33.5169,27.239,51.6106,43.98,36.691,35.2186,39.9104,37.4178,66.0277,+4.018
"Seton Hall8 seed, R32",22,BE,34,22-12,118.214,98.566,.890022,52.986,50.3143,17.8131,17.7220,34.322,28.4162,35.2120,29.885,52.086,50.0176,36.596,33.8109,33.1284,37.7191,69.5102,+2.524
"Creighton8 seed, R64",23,BE,33,21-12,116.619,97.757,.883523,57.49,50.1131,15.622,15.8313,22.5326,24.628,26.5333,24.812,58.74,50.0176,37.264,33.695,44.936,37.4178,71.046,+2.128
"TCU6 seed, R64",24,B12,33,21-12,119.810,100.896,.879124,56.515,52.3241,17.8131,17.4236,34.224,26.162,34.1151,30.5106,55.126,50.1180,39.420,37.6303,35.2232,35.6109,68.8143,+2.227
"Wichita St.4 seed, R64",25,Amer,33,25-8,121.36,103.0143,.866925,55.125,49.493,16.544,16.3295,35.410,22.68,34.8130,33.2173,53.844,46.032,38.141,36.3246,39.2123,40.4274,68.8136,+3.420

"Auburn4 seed, R32",26,SEC,34,26-8,114.339,97.349,.865026,50.8173,49.7109,16.440,20.744,32.164,28.0141,39.836,38.1273,48.7215,47.777,35.7124,35.1177,43.258,39.6253,72.619,+4.317
"Texas A&M7 seed,Sweet Sixteen",27,SEC,35,22-13,111.559,95.118,.862827,51.4150,46.918,19.2231,15.3327,33.930,27.3106,32.0217,27.643,52.565,45.726,32.9271,32.639,33.0288,37.6186,69.0119,+1.931
"Florida St.9 seed,Elite Eight",28,ACC,35,23-12,113.448,96.741,.862628,53.278,48.450,17.8131,19.4106,32.360,29.8228,37.073,32.4151,53.646,45.417,35.0162,35.5206,36.8175,37.7191,71.343,+1.043
"Miami FL6 seed, R64",29,ACC,32,22-10,113.545,96.844,.861829,53.181,49.071,16.864,18.8143,29.1161,28.2150,29.1293,28.147,52.279,48.8127,36.499,32.842,36.0205,35.6109,67.0233,+2.722
"Kansas St.9 seed,Elite Eight",30,B12,37,25-12,109.881,94.011,.856530,52.6100,49.176,17.285,21.619,25.9260,31.9301,33.8158,36.8251,53.450,48.9131,34.1213,33.055,36.8175,39.9259,65.2314,+2.523
"Virginia Tech8 seed, R64",31,ACC,33,21-12,115.527,98.974,.855831,57.75,50.4147,17.073,18.6160,23.9306,29.4209,36.585,29.471,57.37,49.2148,38.831,34.7152,39.9104,42.8313,69.0120,+1.339
"Texas10 seed, R64",32,B12,34,19-15,109.682,94.112,.853132,50.0203,48.345,17.073,18.0199,29.4145,29.1199,33.0188,26.224,51.2124,47.571,32.0313,33.267,38.1147,35.290,65.4312,+1.337
Oklahoma St.,33,B12,36,21-15,113.050,97.147,.851233,49.8209,50.0127,18.1149,20.361,34.224,31.1279,32.2210,35.6229,48.3237,47.571,34.8173,36.7265,38.3144,34.475,68.7145,+0.0950
Maryland,34,B10,32,19-13,114.244,98.160,.851034,54.341,47.532,20.4291,16.3295,31.483,28.2150,37.959,24.07,53.943,45.623,36.884,33.8109,36.0205,38.2208,66.3265,-0.659
"Arizona4 seed, R64",35,P12,35,27-8,117.217,100.794,.850835,56.316,49.9118,17.5116,16.7274,33.244,25.140,36.977,31.2121,56.710,47.777,36.981,35.8219,32.0302,35.6109,67.1229,+3.819
"San Diego St.11 seed, R64",36,MWC,33,22-11,110.576,95.120,.847536,51.7137,48.658,17.073,19.0127,31.681,25.037,35.1124,29.678,52.086,47.881,34.1213,33.267,35.9209,39.9259,68.8138,-1.671
