Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Memphis2 seed,Sweet Sixteen",1,CUSA,37,33-4,112.634,84.21,.96611,50.1122,41.41,18.346,22.470,38.029,30.473,39.971,35.5153,50.672,40.02,32.6234,30.011,31.3217,28.327,66.8124,+7.18
"North Carolina1 seed,CHAMPS",2,ACC,37,33-4,123.81,92.724,.96542,52.845,46.661,16.69,20.7159,39.219,32.2143,39.876,25.47,51.062,44.745,38.524,33.6127,27.2298,32.8164,73.17,+7.75
"Connecticut1 seed,Final Four",3,BE,36,31-5,116.316,87.13,.96523,51.378,42.42,18.138,16.8331,39.811,30.679,46.46,19.51,51.452,40.96,34.1158,30.417,23.0336,30.386,67.495,+8.81
"Louisville1 seed,Elite Eight",4,BE,37,31-6,112.832,86.52,.95514,52.748,44.312,19.9123,23.339,35.285,32.4155,31.4293,30.239,51.158,43.326,36.958,30.925,37.862,30.591,67.1105,+8.13
"Pittsburgh1 seed,Elite Eight",5,BE,35,30-5,121.42,93.227,.95445,52.942,46.555,18.240,19.2253,42.51,30.167,33.0260,30.239,52.825,45.159,35.4103,32.992,29.3264,33.8203,65.1189,+8.62
"Missouri3 seed,Elite Eight",6,B12,38,31-7,117.19,91.617,.94436,52.748,46.349,16.36,25.111,34.3109,34.7248,36.6169,39.9252,52.727,46.7104,35.2114,30.316,31.4214,30.075,70.719,+6.19
"Kansas3 seed,Sweet Sixteen",7,B12,35,27-8,114.424,90.49,.93747,53.234,44.08,20.8186,19.4237,36.751,29.239,39.585,35.1143,52.236,40.84,37.153,33.4116,29.6255,34.1215,67.0107,+5.412
"West Virginia6 seed, R64",8,BE,35,23-12,115.221,91.113,.93668,48.5189,46.661,18.240,23.437,41.04,31.5118,35.9190,38.4221,48.0164,47.1122,32.9224,30.213,34.0141,30.075,64.5223,+3.919
"UCLA6 seed, R32",9,P10,35,26-9,120.03,95.046,.93639,55.74,49.8196,19.070,23.921,36.358,31.3111,31.2296,35.6156,53.519,48.0152,39.912,36.1269,33.2159,29.455,65.6170,+4.517
"Michigan St.2 seed,Finals",10,B10,38,31-7,114.025,90.28,.936310,49.8136,47.281,20.9196,20.3181,40.76,27.18,41.148,36.5177,48.5145,47.0118,35.4103,31.842,26.6306,35.7265,66.7129,+7.47
"Gonzaga4 seed,Sweet Sixteen",11,WCC,33,27-6,116.911,92.519,.936211,55.26,44.210,16.47,21.3126,30.8239,30.473,35.5196,29.527,53.321,39.41,39.414,35.2233,32.1190,35.5257,67.880,+4.518
"Duke2 seed,Sweet Sixteen",12,ACC,37,30-7,117.67,93.329,.934812,50.5104,47.8105,17.622,23.532,37.433,33.2200,41.444,31.053,49.6102,46.7104,34.9124,33.8141,35.0112,25.97,67.1106,+7.94
"Oklahoma2 seed,Elite Eight",13,B12,36,30-6,118.64,94.338,.933413,55.26,45.838,20.1141,18.3303,36.946,31.9133,46.54,28.821,56.64,43.022,35.1117,33.9151,34.5127,35.4254,67.0110,+7.46
"Villanova3 seed,Final Four",14,BE,38,30-8,114.622,91.214,.932314,50.897,47.386,19.070,21.7107,36.160,29.958,41.939,38.7229,49.893,45.057,35.2114,33.7132,32.0194,41.5341,67.586,+6.010
"Syracuse3 seed,Sweet Sixteen",15,BE,37,27-10,117.110,93.533,.929815,54.416,46.764,20.8186,19.2253,35.966,35.3271,39.392,26.210,55.45,48.1164,34.9124,29.67,32.6176,37.9301,70.127,+5.911
"Arizona St.6 seed, R32",16,P10,35,25-10,118.06,94.640,.927316,56.42,47.077,18.655,19.5232,29.1276,30.063,38.7107,30.949,57.12,46.598,37.056,31.945,45.311,36.7287,59.7331,+4.716
"Purdue5 seed,Sweet Sixteen",17,B10,37,27-10,110.159,88.85,.922817,50.0125,44.19,17.316,22.470,29.4271,31.8127,33.2253,31.357,49.0126,41.810,34.7131,32.884,34.0141,30.591,66.6133,+3.920
"Washington4 seed, R32",18,P10,34,25-9,112.437,90.812,.921618,48.8174,46.867,20.1141,20.2188,41.93,31.095,44.320,33.3100,48.4148,45.469,33.8173,33.4116,20.3342,28.839,72.410,+4.915
"Marquette6 seed, R32",19,BE,35,25-10,117.38,95.955,.910419,51.283,50.9251,16.711,21.5119,35.092,30.679,45.411,30.136,50.770,50.3264,34.7131,34.7193,34.6124,34.7233,68.172,+3.422
"BYU8 seed, R64",20,MWC,32,24-8,113.826,93.636,.904620,54.811,45.941,16.58,20.1191,28.3297,25.74,35.2202,36.3170,53.614,46.392,38.133,30.213,33.6151,34.3219,69.049,+2.334
"Xavier4 seed,Sweet Sixteen",21,A10,35,27-8,109.963,90.811,.900521,52.262,43.77,21.7229,18.4298,36.946,27.817,45.312,33.296,48.8133,41.68,39.414,32.460,33.0164,30.8106,66.1147,+2.925
"Clemson7 seed, R64",22,ACC,32,23-9,116.614,96.566,.898822,52.845,48.3125,20.2148,24.413,39.811,37.1314,31.5289,32.580,51.062,46.081,37.447,35.9266,34.7121,28.732,68.073,+2.826
"Texas7 seed, R32",23,B12,35,23-12,112.339,93.026,.897623,48.5189,46.043,18.655,20.0194,39.219,32.7170,38.6108,36.6180,48.2157,43.529,32.8229,34.3170,24.5326,30.9107,65.3179,+2.629
"USC10 seed, R32",24,P10,35,22-13,110.062,91.516,.893024,50.897,46.349,21.2210,19.9197,37.336,31.1102,42.236,32.783,51.357,44.135,32.6234,33.6127,21.5339,34.6230,63.9249,+2.533
"Illinois5 seed, R64",25,B10,34,24-10,106.2102,88.44,.891925,51.186,44.210,19.493,21.6113,30.2253,32.7170,22.5344,26.712,50.575,44.135,35.0119,29.67,28.8274,31.6122,62.7289,+3.821

"Wake Forest4 seed, R64",26,ACC,31,24-7,111.943,93.431,.888226,52.456,45.230,21.1201,20.9148,36.160,31.095,43.524,32.783,53.614,45.057,32.0261,30.417,21.3340,35.2248,72.59,+5.213
"Oklahoma St.8 seed, R32",27,B12,35,23-12,116.912,97.881,.886027,54.020,50.2219,17.014,20.8152,28.2301,31.2108,39.490,41.3273,51.452,49.4229,38.425,34.5178,41.325,33.9207,69.437,+2.728
Georgetown,28,BE,31,16-15,110.355,92.723,.880928,53.039,45.941,22.2250,21.8102,33.4141,36.3298,41.939,33.3100,54.87,44.745,33.2204,32.151,36.484,32.4150,63.1277,-1.170
"Wisconsin12 seed, R32",29,B10,33,20-13,112.240,94.844,.874829,49.9131,48.9155,16.69,19.4237,31.3221,25.85,34.6211,34.1122,47.7179,49.0213,36.085,32.671,35.1108,30.591,59.3334,+0.3447
"Tennessee9 seed, R64",30,SEC,34,21-13,115.320,97.573,.873630,50.994,50.6239,18.655,21.1135,37.930,31.095,36.7165,36.8183,52.924,50.7273,31.5279,33.7132,34.6124,37.3297,68.368,+1.338
"Utah5 seed, R64",31,MWC,33,24-9,110.258,93.328,.871731,54.613,45.129,21.0197,15.9341,27.6312,25.63,39.295,36.3170,54.19,42.518,37.056,34.9210,38.453,26.412,64.9205,+2.827
"California7 seed, R64",32,P10,33,22-11,116.813,99.4117,.864532,54.020,49.0157,18.029,18.5293,32.5174,30.885,34.3219,33.093,50.381,47.7143,42.71,34.9210,26.6306,27.822,66.3137,+3.224
"Ohio St.8 seed, R64",33,B10,33,22-11,112.733,96.260,.861433,54.811,47.7101,21.1201,21.3126,28.2301,34.1230,38.3122,24.64,53.911,44.642,37.545,34.8202,35.695,40.6332,63.0282,+3.223
San Diego St.,34,MWC,34,24-10,108.571,92.620,.861234,49.9131,46.970,20.2148,23.148,36.751,33.2200,33.4243,33.194,49.1119,46.6102,34.5134,31.639,31.4214,34.4223,61.9310,+0.642
Notre Dame,35,BE,35,20-15,115.718,98.8100,.860935,50.0125,47.8105,13.91,14.7343,31.5211,30.885,27.0337,27.214,45.2271,47.0118,39.218,33.1104,34.7121,30.178,67.0114,-0.4664
Baylor,36,B12,38,23-15,116.515,99.5118,.860636,53.822,49.3172,18.761,19.8206,31.4220,33.4210,38.4115,36.4175,53.222,48.3177,36.470,34.3170,40.135,33.1181,66.2144,-0.1058
Florida,37,SEC,36,25-11,115.619,98.8101,.858737,54.613,50.5234,17.622,22.092,32.6170,32.2143,30.0315,29.935,54.48,49.4229,36.764,35.1226,37.667,34.9238,65.7165,+0.0350
Washington St.,38,P10,33,17-16,104.2132,89.16,.857938,48.8174,44.717,19.281,17.6321,27.3315,25.01,27.0337,33.7109,47.5188,40.02,34.5134,36.2271,31.8202,33.0175,58.0340,-1.475
"Florida St.5 seed, R64",39,ACC,35,25-10,105.8106,90.710,.854739,49.2160,44.717,22.9283,22.376,34.699,35.4275,39.295,35.7159,48.1161,42.114,34.2153,32.778,33.5153,36.7287,66.0149,+5.014
"Arizona12 seed,Sweet Sixteen",40,P10,35,21-14,118.45,101.7159,.852640,53.039,51.0253,19.493,18.4298,35.966,34.4240,37.5148,25.16,51.062,50.0246,38.722,34.9210,29.0270,41.0335,64.5220,+0.741
New Mexico,41,MWC,34,22-12,111.942,96.159,.852141,52.748,47.595,18.449,21.4121,30.7242,27.18,46.09,47.9329,50.381,44.033,38.133,35.3239,34.4130,38.8314,65.6168,-1.782
"Michigan10 seed, R32",42,B10,34,20-14,111.446,96.158,.846542,50.2118,49.0157,18.029,21.3126,28.7285,33.2200,28.4330,29.833,50.381,50.0246,33.4194,31.433,47.86,33.6198,63.3270,+0.940
"Texas A&M9 seed, R32",43,B12,33,23-10,113.528,97.982,.845843,50.4107,48.8148,19.281,18.3303,36.259,29.754,46.54,30.136,48.7137,46.392,36.273,36.4282,30.3238,29.969,64.0244,+1.935
Miami FL,43,ACC,31,18-13,110.453,95.250,.845843,49.3156,46.246,19.7108,18.9275,38.623,32.0135,38.2123,31.053,46.0248,44.849,36.667,32.358,37.172,37.9301,64.5226,-0.767
"LSU8 seed, R32",45,SEC,35,27-8,112.041,96.767,.845045,49.9131,45.634,17.726,19.2253,37.631,30.885,35.4197,35.2145,47.6183,44.954,37.252,31.536,27.3297,29.762,65.5174,+2.532
"Minnesota10 seed, R64",46,B10,32,21-11,106.599,92.018,.842646,49.6147,47.077,22.4263,23.339,35.871,33.9226,34.5214,36.1164,49.6102,43.326,33.0217,35.5248,32.4183,37.1292,64.9206,+1.936
Kansas St.,47,B12,33,21-12,109.565,94.743,.841447,48.5189,47.595,20.0133,24.119,42.32,31.8127,42.236,48.8333,46.6225,45.159,35.0119,35.1226,31.5210,31.9132,67.587,-0.2861
"Butler9 seed, R64",48,Horz,31,25-6,109.764,95.148,.837848,51.768,44.615,20.1141,20.6166,32.5174,29.650,43.524,34.0120,50.672,42.316,35.2114,32.671,45.213,35.0242,62.7288,+2.531
Stanford,49,P10,34,20-14,112.536,97.778,.836049,52.552,51.9287,18.550,22.189,32.0198,31.3111,33.5242,32.886,49.989,51.7305,38.425,35.1226,33.5153,25.33,68.076,-1.169
Kentucky,50,SEC,36,22-14,107.784,93.532,.836050,53.431,44.925,24.0314,20.4176,35.092,31.8127,40.167,33.3100,53.614,40.84,35.3109,35.2233,29.6255,34.4223,67.0108,-2.185

