Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Gonzaga1 seed,Sweet Sixteen",1,WCC,32,28-4,120.34,89.99,.96621,58.72,43.11,15.735,16.3296,29.1146,23.423,30.6160,22.719,60.42,41.81,37.027,30.535,35.3241,33.347,72.65,+6.710
"Houston5 seed,Elite Eight",2,Amer,38,32-6,116.510,88.56,.95952,53.144,43.32,16.970,21.730,37.72,28.0172,29.0215,34.7284,54.527,43.46,33.8171,28.87,38.9143,42.7320,63.7336,+6.213
"Kansas1 seed,CHAMPS",3,B12,40,34-6,119.85,91.313,.95803,53.830,45.822,17.3101,18.1185,32.939,28.6201,32.3112,27.7103,53.639,46.444,36.151,29.820,33.1286,34.884,69.172,+10.41
"Texas Tech3 seed,Sweet Sixteen",4,B12,37,27-10,110.541,85.41,.95094,52.661,45.822,19.8272,23.212,33.234,25.875,35.153,31.9226,54.922,44.512,32.1253,31.562,34.1262,45.5344,66.3223,+6.611
"Baylor1 seed, R32",5,B12,34,27-7,117.88,91.314,.94915,52.855,47.878,17.9132,22.915,36.37,28.8208,29.0215,27.7103,53.639,49.2158,34.3128,30.229,38.4159,36.2125,67.6149,+8.92
"Duke2 seed,Final Four",6,ACC,39,32-7,122.71,96.053,.94406,55.69,47.149,15.018,15.7314,31.762,28.9214,28.6232,19.12,56.09,46.647,36.637,32.078,35.7229,33.653,67.4161,+7.27
"Tennessee3 seed, R32",7,SEC,35,27-8,111.334,87.13,.94357,50.7136,46.433,17.7121,22.915,32.448,27.2128,29.0215,31.5213,48.5225,46.034,35.955,31.360,40.3110,39.2233,67.3164,+7.94
"Villanova2 seed,Final Four",8,BE,38,30-8,117.29,93.026,.93458,51.5102,47.356,15.528,18.4164,31.275,28.9214,29.8187,25.046,49.5186,48.1112,35.955,30.840,46.317,42.2307,62.2350,+7.36
"Arizona1 seed,Sweet Sixteen",9,P12,37,33-4,118.07,93.735,.93419,55.69,44.48,18.3168,17.4230,34.715,28.6201,34.954,24.035,57.05,41.81,35.376,32.8125,35.9222,34.780,72.39,+8.83
"UCLA4 seed,Sweet Sixteen",10,P12,35,27-8,115.812,92.220,.932010,50.6141,47.668,13.24,19.4107,31.374,25.365,29.5203,28.3121,49.5186,47.373,35.472,32.186,31.2319,38.1196,65.4274,+5.015
"Kentucky2 seed, R64",11,SEC,34,26-8,119.46,95.444,.929411,53.144,46.940,16.760,17.5226,37.72,24.954,28.0248,25.452,53.544,47.373,34.799,30.840,28.0349,35.9114,67.8133,+6.99
"Purdue3 seed,Sweet Sixteen",12,B10,37,29-8,121.62,97.586,.926612,56.55,49.1131,17.5115,14.0346,35.213,23.832,38.215,21.610,55.813,48.6131,38.45,33.2148,39.2137,40.6270,66.0243,+7.08
"Iowa5 seed, R64",13,B10,36,26-10,121.13,97.281,.926113,53.338,49.7162,13.02,19.2121,32.350,30.0256,30.0181,26.377,52.566,49.9176,36.345,32.9126,39.3134,36.3129,69.850,+4.516
"Auburn2 seed, R32",14,SEC,34,28-6,111.730,90.010,.922714,49.9173,44.14,16.760,20.082,33.725,28.9214,31.6128,34.2275,51.3111,42.85,31.8269,31.046,39.8123,36.0117,70.049,+7.45
"Texas6 seed, R32",15,B12,34,22-12,112.524,91.515,.915115,50.1169,47.047,17.8130,23.014,31.667,29.8248,32.0120,39.0336,50.5136,46.647,33.0215,31.869,36.1213,33.757,63.5339,+3.425
"North Carolina8 seed,Finals",16,ACC,39,29-10,114.417,93.533,.911216,51.5102,48.6111,16.449,13.6355,31.958,21.62,30.3175,21.48,50.1153,47.584,35.859,33.7180,38.0169,36.2125,70.145,+4.319
"Memphis9 seed, R32",17,Amer,33,22-11,112.425,92.623,.902917,52.371,46.637,22.5351,20.459,37.45,30.9286,37.822,33.2252,51.988,45.526,35.570,32.078,30.4331,42.8323,70.046,+1.445
"Virginia Tech11 seed, R64",18,ACC,36,23-13,115.614,95.243,.902718,55.118,49.0125,17.078,18.7148,27.8176,26.293,24.5326,25.657,52.664,49.3160,39.23,32.394,41.1101,36.9152,63.3341,+1.740
"Saint Mary's5 seed, R32",19,WCC,34,26-8,109.847,90.511,.902419,52.759,48.397,17.078,19.2121,27.4189,21.73,23.3338,25.148,52.566,47.060,35.570,34.3220,36.2209,28.34,63.7338,+3.922
"Illinois4 seed, R32",20,B10,33,23-10,111.927,93.025,.894220,52.566,46.025,18.1151,15.5324,33.136,26.6110,32.0120,28.2118,51.4110,45.220,35.955,31.972,42.665,29.66,67.1184,+4.120
"Arkansas4 seed,Elite Eight",21,SEC,37,28-9,108.760,90.712,.889321,48.6240,47.565,16.970,20.553,29.6125,25.365,37.231,31.9226,50.1153,46.855,30.4316,32.4104,34.2258,38.8225,70.628,+4.517
"LSU6 seed, R64",22,SEC,34,22-12,106.396,89.78,.876522,49.4203,45.114,20.7313,25.13,33.821,30.9286,33.485,37.8327,50.4143,47.688,31.6276,28.24,34.8245,46.5349,68.795,+2.332
