Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
Kansas,1,B12,31,28-3,116.17,87.72,.96161,53.724,43.74,18.7163,18.6178,32.641,26.4106,35.889,23.212,54.914,42.43,34.1124,30.542,32.5287,41.3287,67.4226,+10.91
Baylor,2,B12,30,26-4,114.513,88.43,.95142,49.4185,45.215,17.889,22.722,35.88,29.8260,30.8225,30.8141,47.5256,44.419,35.179,31.161,36.9191,35.0102,66.2273,+8.52
Gonzaga,3,WCC,33,31-2,121.31,94.341,.94733,57.53,47.686,15.311,18.4195,33.630,22.714,38.841,21.86,57.42,47.488,38.67,32.0106,31.3303,34.171,72.033,+7.73
Dayton,4,A10,31,29-2,119.53,93.429,.94454,59.71,46.652,18.0109,18.8164,26.4225,26.6116,33.9141,30.9144,62.31,45.132,37.126,33.0163,39.0132,33.256,67.5219,+6.86
Michigan St.,5,B10,31,22-9,114.811,91.311,.93275,52.646,43.33,18.1115,15.8328,32.836,26.089,30.8225,29.399,52.945,43.410,34.893,28.79,37.5174,37.7182,69.3116,+5.210
Duke,6,ACC,31,25-6,115.39,91.917,.93116,52.646,45.723,17.889,20.291,34.817,28.0177,35.698,30.9144,52.555,46.051,35.268,29.923,31.5301,26.73,71.739,+5.111
Creighton,7,BE,31,24-7,120.62,96.467,.92897,55.26,48.4120,15.923,17.6246,23.9294,30.2279,28.8273,23.413,53.039,48.9157,38.76,31.896,42.759,38.4202,68.3170,+6.19
Ohio St.,8,B10,31,21-10,114.512,92.622,.91978,52.354,46.236,19.1197,18.3200,31.174,25.570,36.773,29.399,49.7156,44.216,37.321,32.7147,41.485,39.5236,66.2278,+3.819
San Diego St.,9,MWC,32,30-2,113.817,92.825,.91219,54.613,45.215,16.230,21.348,28.2161,25.464,28.3284,30.6137,53.039,45.336,37.911,30.132,42.266,42.4310,64.7330,+6.68
Louisville,10,ACC,31,24-7,115.110,94.037,.912010,52.551,45.113,18.0109,17.4264,32.052,25.049,32.2191,29.090,50.1138,45.132,37.615,30.132,38.0163,41.0281,66.9244,+4.317
Villanova,11,BE,31,24-7,114.015,93.734,.904711,52.646,48.2112,16.026,16.9288,25.7247,24.541,26.9306,23.615,51.589,47.9109,35.946,32.5134,47.315,31.829,66.2275,+6.87
Arizona,12,P12,32,21-11,110.940,91.29,.904112,50.7121,45.318,16.747,20.669,30.784,25.981,36.773,35.2242,49.6160,44.419,35.268,31.266,34.7246,37.7182,69.3119,+0.843
Houston,13,Amer,31,23-8,112.029,92.220,.904013,48.0244,43.95,17.889,18.2206,38.72,25.359,32.9169,41.6323,46.6289,44.522,33.7145,28.67,34.3254,39.5236,65.7296,+2.728
Michigan,14,B10,31,19-12,113.021,93.126,.902614,52.839,46.958,15.311,16.1319,25.0272,25.570,26.7313,26.441,54.124,46.359,33.9140,32.3123,39.1129,28.37,68.6158,+2.826
Penn St.,15,B10,31,21-10,111.434,91.915,.902015,49.5178,46.441,15.821,18.6178,29.2131,27.6152,31.0219,31.8170,50.0144,45.234,32.5205,32.5134,39.6118,32.947,70.954,+3.421
West Virginia,16,B12,31,21-10,107.477,88.64,.901416,46.5305,44.68,20.7294,22.427,40.11,27.6152,40.522,37.1280,48.0237,45.437,28.6338,28.811,29.6324,37.5175,69.3118,+3.422
BYU,17,WCC,32,24-8,115.98,96.061,.897217,58.12,49.0143,15.515,18.2206,20.6343,24.132,23.4343,27.965,54.815,50.7232,41.91,30.337,41.389,33.764,69.4104,+2.727
Oregon,18,P12,31,24-7,117.55,97.480,.896618,54.320,47.377,17.578,19.8109,32.739,31.1306,28.9270,29.5106,51.493,46.255,39.62,32.6141,37.3179,40.6272,65.2313,+4.813
