Team1,Seed1,Score1,Team2,Seed2,Score2
Kentucky,1,90,Wake Forest,9,60
Cornell,12,87,Wisconsin,4,69
Washington,11,82,New Mexico,3,64
West Virginia,2,68,Missouri,10,59
