Team1,Seed1,Score1,Team2,Seed2,Score2
Virginia,1,77,Butler,9,69
Iowa State,4,78,Little Rock,12,61
Gonzaga,11,82,Utah,3,59
Syracuse,10,75,Middle Tennessee,15,50
