Team1,Seed1,Score1,Team2,Seed2,Score2
Kansas,1,83,Texas Southern,16,56
Creighton,9,72,San Diego State,8,69
Richmond,12,67,Iowa,5,63
Providence,4,66,South Dakota State,13,57
Iowa State,11,59,LSU,6,54
Wisconsin,3,67,Colgate,14,60
Miami (FL),10,68,USC,7,66
Auburn,2,80,Jacksonville State,15,61
