Team1,Seed1,Score1,Team2,Seed2,Score2
Villanova,1,87,Radford,16,61
Alabama,9,86,Virginia Tech,8,83
West Virginia,5,85,Murray State,12,68
Marshall,13,81,Wichita State,4,75
Florida,6,77,St. Bonaventure,11,62
Texas Tech,3,70,Stephen F. Austin,14,60
Butler,10,79,Arkansas,7,62
Purdue,2,74,Cal State Fullerton,15,48
