Team1,Seed1,Score1,Team2,Seed2,Score2
Virginia,1,70,Coastal Carolina,16,59
Memphis,8,71,George Washington,9,66
Harvard,12,61,Cincinnati,5,57
Michigan State,4,93,Delaware,13,78
UNC,6,79,Providence,11,77
Iowa State,3,93,North Carolina Central,14,75
UConn,7,89,St. Joseph's,10,81
Villanova,2,73,Milwaukee,15,53
