Team1,Seed1,Score1,Team2,Seed2,Score2
Illinois,1,78,Drexel,16,49
Loyola (IL),8,71,Georgia Tech,9,60
Oregon State,12,70,Tennessee,5,56
Oklahoma State,4,69,Liberty,13,60
Syracuse,11,78,San Diego State,6,62
West Virginia,3,84,Morehead State,14,67
Rutgers,10,60,Clemson,7,56
Houston,2,87,Cleveland State,15,56
