Team1,Seed1,Score1,Team2,Seed2,Score2
Wichita State,1,64,Cal Poly,16,37
Kentucky,8,56,Kansas State,9,49
Saint Louis,5,83,NC State,12,80
Louisville,4,71,Manhattan,13,64
Tennessee,11,86,UMass,6,67
Mercer,14,78,Duke,3,71
Texas,7,87,Arizona State,10,85
Michigan,2,57,Wofford,15,40
