Team1,Seed1,Score1,Team2,Seed2,Score2
Cincinnati,1,90,Boston University,16,52
UCLA,8,80,Ole Miss,9,58
Missouri,12,93,Miami (FL),5,80
Ohio State,4,69,Davidson,13,64
Wyoming,11,73,Gonzaga,6,66
Arizona,3,86,UCSB,14,81
Xavier,7,70,Hawaii,10,58
Oklahoma,2,71,UIC,15,63
