Team1,Seed1,Score1,Team2,Seed2,Score2
Gonzaga,1,87,Oklahoma,8,71
Creighton,5,72,Ohio,13,58
USC,6,85,Kansas,3,51
Oregon,7,95,Iowa,2,80
