Team1,Seed1,Score1,Team2,Seed2,Score2
Alabama,1,96,Texas A&M-Corpus Christi,16,75
Maryland,8,67,West Virginia,9,65
San Diego State,5,63,College of Charleston,12,57
Furman,13,68,Virginia,4,67
Creighton,6,72,NC State,11,63
Baylor,3,74,UCSB,14,56
Missouri,7,76,Utah State,10,65
Princeton,15,59,Arizona,2,55
