Team1,Seed1,Score1,Team2,Seed2,Score2
Florida,1,61,Pitt,9,45
UCLA,4,77,Stephen F. Austin,12,60
Dayton,11,55,Syracuse,3,53
Stanford,10,60,Kansas,2,57
