Team1,Seed1,Score1,Team2,Seed2,Score2
Kansas State,9,50,UMBC,16,43
Kentucky,5,95,Buffalo,13,75
Loyola (IL),11,63,Tennessee,3,62
Nevada,7,75,Cincinnati,2,73
