Team1,Seed1,Score1,Team2,Seed2,Score2
UNC,1,113,Mount St. Mary's,16,74
Arkansas,9,86,Indiana,8,72
Notre Dame,5,68,George Mason,12,50
Washington State,4,71,Winthrop,13,40
Oklahoma,6,72,St. Joseph's,11,64
Louisville,3,79,Boise State,14,61
Butler,7,81,South Alabama,10,61
Tennessee,2,72,American,15,57
