Team1,Seed1,Score1,Team2,Seed2,Score2
Florida,1,112,Jackson State,16,69
Purdue,9,72,Arizona,8,63
Butler,5,57,Old Dominion,12,46
Maryland,4,82,Davidson,13,70
Winthrop,11,74,Notre Dame,6,64
Oregon,3,58,Miami (OH),14,56
UNLV,7,67,Georgia Tech,10,63
Wisconsin,2,76,Texas A&M-Corpus Christi,15,63
