Team1,Seed1,Score1,Team2,Seed2,Score2
Oklahoma,1,71,South Carolina State,16,54
California,8,76,NC State,9,74
Butler,12,47,Mississippi State,5,46
Louisville,4,86,Austin Peay,13,64
Oklahoma State,6,77,Penn,11,63
Syracuse,3,76,Manhattan,14,65
Auburn,10,65,St. Joseph's,7,63
Wake Forest,2,76,ETSU,15,73
