Team1,Seed1,Score1,Team2,Seed2,Score2
Duke,1,84,Notre Dame,8,77
Indiana,5,76,UNC Wilmington,13,67
Pitt,3,63,California,6,50
Kent State,10,71,Alabama,2,58
