Team1,Seed1,Score1,Team2,Seed2,Score2
Gonzaga,1,79,Northwestern,8,73
West Virginia,4,83,Notre Dame,5,71
Xavier,11,91,Florida State,3,66
Arizona,2,69,Saint Mary's,7,60
