Team1,Seed1,Score1,Team2,Seed2,Score2
Florida State,9,75,Xavier,1,70
Gonzaga,4,90,Ohio State,5,84
Michigan,3,64,Houston,6,63
Texas A&M,7,86,UNC,2,65
