Team1,Seed1,Score1,Team2,Seed2,Score2
Kansas,1,105,Austin Peay,16,79
UConn,9,74,Colorado,8,67
Maryland,5,79,South Dakota State,12,74
Hawaii,13,77,California,4,66
Wichita State,11,65,Arizona,6,55
Miami (FL),3,79,Buffalo,14,72
Iowa,7,72,Temple,10,70
Villanova,2,86,UNC Asheville,15,56
