Team1,Seed1,Score1,Team2,Seed2,Score2
UNC,1,85,Michigan State,9,69
Alabama,4,72,Grand Canyon,12,61
Clemson,6,72,Baylor,3,64
Arizona,2,78,Dayton,7,68
