Team1,Seed1,Score1,Team2,Seed2,Score2
Maryland,1,87,Wisconsin,8,57
Kentucky,4,87,Tulsa,12,82
Southern Illinois,11,77,Georgia,3,75
UConn,2,77,NC State,7,74
