Team1,Seed1,Score1,Team2,Seed2,Score2
Ohio State,1,98,George Mason,8,66
Kentucky,4,71,West Virginia,5,63
Marquette,11,66,Syracuse,3,62
UNC,2,86,Washington,7,83
