Team1,Seed1,Score1,Team2,Seed2,Score2
UNC,1,101,Radford,16,58
LSU,8,75,Butler,9,71
Western Kentucky,12,76,Illinois,5,72
Gonzaga,4,77,Akron,13,64
Arizona State,6,66,Temple,11,57
Syracuse,3,59,Stephen F. Austin,14,44
Michigan,10,62,Clemson,7,59
Oklahoma,2,82,Morgan State,15,54
