Team1,Seed1,Score1,Team2,Seed2,Score2
Gonzaga,1,64,Southern,16,58
Wichita State,9,73,Pitt,8,55
Ole Miss,12,57,Wisconsin,5,46
La Salle,13,63,Kansas State,4,61
Arizona,6,81,Belmont,11,64
Harvard,14,68,New Mexico,3,62
Iowa State,10,76,Notre Dame,7,58
Ohio State,2,95,Iona,15,70
