Team1,Seed1,Score1,Team2,Seed2,Score2
Loyola (IL),8,71,Illinois,1,58
Oregon State,12,80,Oklahoma State,4,70
Syracuse,11,75,West Virginia,3,72
Houston,2,63,Rutgers,10,60
