Team1,Seed1,Score1,Team2,Seed2,Score2
UMBC,16,74,Virginia,1,54
Kansas State,9,69,Creighton,8,59
Kentucky,5,78,Davidson,12,73
Buffalo,13,89,Arizona,4,68
Loyola (IL),11,64,Miami (FL),6,62
Tennessee,3,73,Wright State,14,47
Nevada,7,87,Texas,10,83
Cincinnati,2,68,Georgia State,15,53
