Team1,Seed1,Score1,Team2,Seed2,Score2
UNC,1,90,Wagner,16,62
Michigan State,9,69,Mississippi State,8,51
Grand Canyon,12,75,Saint Mary's,5,66
Alabama,4,109,College of Charleston,13,96
Clemson,6,77,New Mexico,11,56
Baylor,3,92,Colgate,14,67
Dayton,7,63,Nevada,10,60
Arizona,2,85,Long Beach State,15,65
