Team1,Seed1,Score1,Team2,Seed2,Score2
Duke,1,87,Hampton,16,45
Michigan,8,75,Tennessee,9,45
Arizona,5,77,Memphis,12,75
Texas,4,85,Oakland,13,81
Cincinnati,6,78,Missouri,11,63
UConn,3,81,Bucknell,14,52
Temple,7,66,Penn State,10,64
San Diego State,2,68,Northern Colorado,15,50
