Team1,Seed1,Score1,Team2,Seed2,Score2
Arizona,1,80,Vermont,16,51
Gonzaga,9,74,Cincinnati,8,69
Notre Dame,5,70,Milwaukee,12,69
Illinois,4,65,Western Kentucky,13,60
Central Michigan,11,79,Creighton,6,73
Duke,3,67,Colorado State,14,57
Arizona State,10,84,Memphis,7,71
Kansas,2,64,Utah State,15,61
