Team1,Seed1,Score1,Team2,Seed2,Score2
Gonzaga,1,83,Baylor,9,71
Florida State,4,90,Murray State,12,62
Texas Tech,3,78,Buffalo,6,58
Michigan,2,64,Florida,10,49
