Team1,Seed1,Score1,Team2,Seed2,Score2
Arizona,1,68,Weber State,16,59
Gonzaga,8,85,Oklahoma State,9,77
North Dakota State,12,80,Oklahoma,5,75
San Diego State,4,73,New Mexico State,13,69
Baylor,6,74,Nebraska,11,60
Creighton,3,76,Louisiana,14,66
Oregon,7,87,BYU,10,68
Wisconsin,2,75,American,15,35
