Team1,Seed1,Score1,Team2,Seed2,Score2
NC State,8,71,Villanova,1,68
Louisville,4,66,Northern Iowa,5,53
Oklahoma,3,72,Dayton,11,66
Michigan State,7,60,Virginia,2,54
