Team1,Seed1,Score1,Team2,Seed2,Score2
Gonzaga,1,66,South Dakota State,16,46
Northwestern,8,68,Vanderbilt,9,66
Notre Dame,5,60,Princeton,12,58
West Virginia,4,86,Bucknell,13,80
Xavier,11,76,Maryland,6,65
Florida State,3,86,Florida Gulf Coast,14,80
Saint Mary's,7,85,VCU,10,77
Arizona,2,100,North Dakota,15,82
