Team1,Seed1,Score1,Team2,Seed2,Score2
Virginia,1,81,Hampton,16,45
Butler,9,71,Texas Tech,8,61
Little Rock,12,85,Purdue,5,83
Iowa State,4,94,Iona,13,81
Gonzaga,11,68,Seton Hall,6,52
Utah,3,80,Fresno State,14,69
Syracuse,10,70,Dayton,7,51
Middle Tennessee,15,90,Michigan State,2,81
