Team1,Seed1,Score1,Team2,Seed2,Score2
Kansas,1,100,UC-Davis,16,62
Michigan State,9,78,Miami (FL),8,58
Iowa State,5,84,Nevada,12,73
Purdue,4,80,Vermont,13,70
Rhode Island,11,84,Creighton,6,72
Oregon,3,93,Iona,14,77
Michigan,7,92,Oklahoma State,10,91
Louisville,2,78,Jacksonville State,15,63
