Team1,Seed1,Score1,Team2,Seed2,Score2
Arizona,1,96,Gonzaga,9,95
Notre Dame,5,68,Illinois,4,60
Duke,3,86,Central Michigan,11,60
Kansas,2,108,Arizona State,10,76
