Team1,Seed1,Score1,Team2,Seed2,Score2
UConn,1,75,Northwestern,9,58
San Diego State,5,85,Yale,13,57
Illinois,3,89,Duquesne,11,63
Iowa State,2,67,Washington State,7,56
