Team1,Seed1,Score1,Team2,Seed2,Score2
UNC,1,103,Texas Southern,16,64
Arkansas,8,77,Seton Hall,9,71
Middle Tennessee,12,81,Minnesota,5,72
Butler,4,76,Winthrop,13,64
Cincinnati,6,75,Kansas State,11,61
UCLA,3,97,Kent State,14,80
Wichita State,10,64,Dayton,7,58
Kentucky,2,79,Northern Kentucky,15,70
