Team1,Seed1,Score1,Team2,Seed2,Score2
UNC,1,83,Florida Gulf Coast,16,67
Providence,9,70,USC,8,69
Indiana,5,99,Chattanooga,12,74
Kentucky,4,85,Stony Brook,13,57
Notre Dame,6,70,Michigan,11,63
Stephen F. Austin,14,70,West Virginia,3,56
Wisconsin,7,47,Pitt,10,43
Xavier,2,71,Weber State,15,53
