Team1,Seed1,Score1,Team2,Seed2,Score2
Kansas,1,85,Portland State,16,61
UNLV,8,71,Kent State,9,58
Villanova,12,75,Clemson,5,69
Siena,13,83,Vanderbilt,4,62
Kansas State,11,80,USC,6,67
Wisconsin,3,71,Cal State Fullerton,14,56
Davidson,10,82,Gonzaga,7,76
Georgetown,2,66,UMBC,15,47
