Team1,Seed1,Score1,Team2,Seed2,Score2
Kentucky,8,78,Wichita State,1,76
Louisville,4,66,Saint Louis,5,51
Tennessee,11,83,Mercer,14,63
Michigan,2,79,Texas,7,65
