Team1,Seed1,Score1,Team2,Seed2,Score2
Michigan,1,86,LSU,8,78
Florida State,4,71,Colorado,5,53
UCLA,11,67,Abilene Christian,14,47
Alabama,2,96,Maryland,10,77
