Team1,Seed1,Score1,Team2,Seed2,Score2
Duke,1,73,Arkansas-Pine Bluff,16,44
California,8,77,Louisville,9,62
Texas A&M,5,69,Utah State,12,53
Purdue,4,72,Siena,13,64
Old Dominion,11,51,Notre Dame,6,50
Baylor,3,68,Sam Houston,14,59
Saint Mary's,10,80,Richmond,7,71
Villanova,2,73,Robert Morris,15,70
