Team1,Seed1,Score1,Team2,Seed2,Score2
Kentucky,1,95,IUPUI,16,64
Utah,9,60,Oregon,8,58
Wisconsin,5,81,Weber State,12,74
Tulsa,13,84,Dayton,4,71
Missouri,6,72,Southern Illinois,11,71
Marquette,3,72,Holy Cross,14,68
Indiana,7,67,Alabama,10,62
Pitt,2,87,Wagner,15,61
