Team1,Seed1,Score1,Team2,Seed2,Score2
Oregon,1,91,Holy Cross,16,52
St. Joseph's,8,78,Cincinnati,9,76
Yale,12,79,Baylor,5,75
Duke,4,93,UNC Wilmington,13,85
Northern Iowa,11,75,Texas,6,72
Texas A&M,3,92,Green Bay,14,65
VCU,10,75,Oregon State,7,67
Oklahoma,2,82,Cal State Bakersfield,15,68
