Team1,Seed1,Score1,Team2,Seed2,Score2
Gonzaga,1,87,FDU,16,49
Baylor,9,78,Syracuse,8,69
Murray State,12,83,Marquette,5,64
Florida State,4,76,Vermont,13,69
Buffalo,6,91,Arizona State,11,74
Texas Tech,3,72,Northern Kentucky,14,57
Florida,10,70,Nevada,7,61
Michigan,2,74,Montana,15,55
