Team1,Seed1,Score1,Team2,Seed2,Score2
Memphis,1,77,Mississippi State,8,74
Michigan State,5,65,Pitt,4,54
Stanford,3,82,Marquette,6,81
Texas,2,75,Miami (FL),7,72
