Team1,Seed1,Score1,Team2,Seed2,Score2
UNC,1,108,Arkansas,9,77
Washington State,4,61,Notre Dame,5,41
Louisville,3,78,Oklahoma,6,48
Tennessee,2,76,Butler,7,71
