Team1,Seed1,Score1,Team2,Seed2,Score2
Texas,1,82,UNC Asheville,16,61
Purdue,9,80,LSU,8,56
UConn,5,58,BYU,12,53
Stanford,4,77,San Diego,13,69
Maryland,6,75,UNC Wilmington,11,73
Xavier,3,71,Troy,14,59
Michigan State,7,79,Colorado,10,64
Florida,2,85,Sam Houston,15,55
